Key,Type,Desc,English
hint_186,Text,,Capture failed!
hint_187,Text,,"The target cannot be captured, the capture is invalid!"
hint_188,Text,,You need to reach LV 
hint_189,Text,, to capture!
hint_19,Text,,Insufficient level to combat
hint_190,Text,,This skill cannot be released in combat!
hint_191,Text,,Get prosperity:
hint_192,Text,,Insufficient level to combat
hint_193,Text,,Pet summon is in CD
hint_194,Text,,The combat table is full!
hint_195,Text,,BOSD appears!
hint_196,Text,,Congratulations! Success in Tier 
hint_197,Text,,
hint_198,Text,,You have killed BOSS! Now you can return to the map to challenge the next tier of mystery!
hint_199,Text,,Get honor:
hint_2,Text,,This skill is already equipped
hint_20,Text,,Pet summon is in CD
hint_200,Text,,Please upgrade the prosperity level to open the prop reward!
hint_201,Text,,"Full backpack, please reserve at least 1 space!"
hint_202,Text,,Insufficient honor!
hint_203,Text,,Congratulations on your success in killing BOSS of the copy!
hint_204,Text,,"90 seconds refresh the next BOSS , please be prepared!"
hint_205,Text,,Processing last recycled data! Please wait ...
hint_206,Text,,Please put in the equipment to be recycled!
hint_207,Text,,Your backpack must be reserved at least 
hint_208,Text,, places
hint_209,Text,,"No recycle, the recycled props exceed 15 of the role level!"
hint_21,Text,,Pet summon is in CD
hint_210,Text,,This Boss don't have first-kill reward!
hint_211,Text,,Successfully picked up the mission!
hint_212,Text,,The equipment put in does not meet the requirements
hint_213,Text,,The number of copy entered today is full!
hint_214,Text,,Insufficient levels of kingdom prosperity! Please upgrade to: LV 
hint_215,Text,,
hint_216,Text,,Insufficient levels of the role! Please upgrade to: LV 
hint_217,Text,,Please pass the previous level before challenging this level!
hint_218,Text,,Talent system will open after LV 10
hint_219,Text,,Warrior Ranking has been refreshed!
hint_22,Text,,The combat table is full!
hint_220,Text,,You have summoned this monster!
hint_221,Text,,Fast movement in small map is on!
hint_222,Text,,Insufficient props!
hint_223,Text,,Your skill is working!
hint_224,Text,,Your pet already has the same skill!
hint_225,Text,,The mutant pets need more powerful props to refine!
hint_226,Text,,Your pet is given a powerful ability!
hint_227,Text,,A mysterious power improves your pet's qualifications!
hint_228,Text,,A mysterious power improves your pet's growth!
hint_229,Text,,This prop cannot be used for wild pets!
hint_23,Text,,Pet cannot be withdrawn in combat
hint_230,Text,,"Reset failed, insufficient attribute points!"
hint_231,Text,,A mysterious power reset your pet attribute points!
hint_232,Text,,Insufficient levels to purchase
hint_233,Text,,Insufficient backpack places!
hint_234,Text,,Insufficient currencies to purchase
hint_235,Text,,Insufficient backpack places!
hint_236,Text,,"You have already purchased this package, please come back tomorrow!"
hint_237,Text,,Insufficient currencies to purchase
hint_238,Text,,Please upgrade the prosperity level to open the prop reward!
hint_239,Text,,"Full backpack, please reserve at least 1 space!"
hint_24,Text,,Name cannot be empty
hint_240,Text,,Insufficient honor!
hint_241,Text,,Successful reborn!
hint_242,Text,,You can enter Treasure Cave after LV 15!
hint_243,Text,,"You have entered Treasure Cave once today, please come back tomorrow!"
hint_244,Text,,Insufficient materials!
hint_245,Text,,"You have rceived today, please come back tomorrow!"
hint_246,Text,,The reward can only be viewed on the specified number of days!
hint_247,Text,,"You have received the sign-in reward for today, please come back tomorrow!"
hint_248,Text,,Please receive the sign-in rewards in order!
hint_249,Text,,Insufficient backpack places!
hint_25,Text,,Name cannot be longer than 7 characters
hint_250,Text,,You have already received the sign-in reward
hint_251,Text,,"Today's sponsorship sign-in reward has been received, please come back tomorrow!"
hint_252,Text,,Failed! You can receive this reward by sponsoring any amount today!
hint_253,Text,,Insufficient backpack places!
hint_254,Text,,You have already received the sign-in reward
hint_255,Text,,Hang status is off
hint_256,Text,,Skill casting is interrupted!
hint_257,Text,,"Full backpack, and the trial reward has failed to receive!"
hint_258,Text,,Skill casting is interrupted!
hint_259,Text,,Enter combat
hint_26,Text,,Pet cannot be released during the combat
hint_260,Text,,Quit combat
hint_261,Text,,The monster is out of combat and cannot be attacked
hint_262,Text,,Receive failed! Insufficient achievement points!
hint_263,Text,,No pet here！
hint_264,Text,,This achievement reward has been received
hint_265,Text,,Insufficient level to combat! Your role must reach LV 
hint_266,Text,, to summon this pet
hint_267,Text,,Pet summon is in CD
hint_268,Text,,Pet summon is in CD
hint_269,Text,,The combat table is full!
hint_27,Text,,Unable to claim! Golden token not reached
hint_270,Text,,Pet cannot be withdrawn in combat
hint_271,Text,,"Wild pets: Pets that can be seen everywhere in the wild, the pet attributes are inherently 40 points less than babies, and can only be used temporarily!"
hint_272,Text,,"Pet baby: There are relatively few pets in the wild, you can freely allocate his attribute points to maximize revenue!"
hint_273,Text,,Mutant baby: a very rare pet whose qualification may exceed the upper limit!
hint_274,Text,, Legendary pets: the most precious pets in the game!
hint_275,Text,,Name cannot be empty
hint_276,Text,,Name cannot be longer than 7 characters
hint_277,Text,,Modify failed! Special characters exist
hint_278,Text,,Pets cannot be released during the combat!
hint_279,Text,,Insufficient SP(skill points)
hint_28,Text,,Unable to claim! Diamond token not reached
hint_280,Text,, Require activated talent points reach: 
hint_281,Text,,
hint_282,Text,,Insufficient level to learn the skill
hint_283,Text,,The current talent has reached the upper limit
hint_284,Text,,"Relevant talent is not activated, please activate the relevant talent first"
hint_285,Text,,"There is a gem in the current hole, please remove the gem first"
hint_286,Text,,"Inlay failed, please make sure the color of the gem is consistent with the hole position!"
hint_287,Text,,Wrong hole position!
hint_288,Text,,"Full backpack, please clean it first"
hint_289,Text,,Reinforcement has reached the full level!
hint_29,Text,,You need to reserve 1 prop space to receive the reward
hint_290,Text,,Require LV 
hint_291,Text,, to enable this reinforcement!
hint_292,Text,,Insufficient gold coins to reinforce
hint_293,Text,,Insufficient props to reinforce
hint_294,Text,,Reinforce failed! Terrible luck
hint_295,Text,,Insufficient reborn coins to reborn
hint_296,Text,,Please select an attack target first
hint_297,Text,,Congratulations! Produce the crit double props!
hint_298,Text,,No pet here!
hint_299,Text,,You have a new mail! Please go to the mail office of Halo Central City to pick it up
hint_3,Text,,"Passive skill ,cannot be dragged"
hint_30,Text,,Payment is being opened ...
hint_300,Text,,No points are currently allocated
hint_301,Text,,"Full backpack, please keep enough space in the backpack!"
hint_302,Text,,Luck is bursting! An extra gem hole was drilled when refining the equipment
hint_303,Text,,Insufficient quality to delete
hint_304,Text,,The pet is in combat
hint_305,Text,,Successful pet summon! Activate 15 seconds of invincible time! Activate only once in 1 minute!
hint_306,Text,,Get the title! Please go to the setting interface to view the list of titles and use
hint_307,Text,,Congratulations! Activate the sprite:
hint_308,Text,,Upgrading this skill requires the role level up to 
hint_309,Text,,
hint_31,Text,,"Payment is busy, please pay later. If there is no response for a long time, please restart the game!"
hint_310,Text,,"Insufficient SP, get 1 SP for each level!"
hint_311,Text,,Switch to Easy mode successfully!
hint_312,Text,,Switch Challenge mode successfully! Boss has been stronger to drop props with greater probability!
hint_313,Text,,Challenge mode will be open after LV 10!
hint_314,Text,,Switch Hell mode successfully! Boss has been stronger to drop props with large probability!
hint_315,Text,,Hell mode will be open after LV 15!
hint_316,Text,,Successfully reset skills!
hint_317,Text,,Enter the scene after leveling up to LV 
hint_318,Text,,!
hint_319,Text,,"The props worked, BOSS have been refreshed!"
hint_32,Text,,"During payment transfer, please do not close the interface ..."
hint_320,Text,,This prop can only be used in Halo Central City!
hint_321,Text,,Full energy!
hint_322,Text,,Please enter the chapter map to use this prop
hint_323,Text,,Full vitality!
hint_324,Text,,Exceed the limited level
hint_325,Text,,"Full backpack, please reserve enough place to submit the mission!"
hint_326,Text,,Please put in the submitted equipment
hint_327,Text,,The pet will get 
hint_328,Text,, experience
hint_329,Text,,"Full backpack, please reserve enough place to submit the mission!"
hint_33,Text,,This reward has been received!
hint_330,Text,,This mission cannot offer auto-wayfinding!
hint_331,Text,,Please go to the map:
hint_332,Text,,Please find 
hint_333,Text,, to submit the mission
hint_334,Text,,Purchase failed! Please check your money first
hint_335,Text,,The countdown is over!
hint_336,Text,,Don't drag the equipment while refining!
hint_337,Text,,Please select the gem to be set
hint_338,Text,,Please put in the equipment to be refined 
hint_339,Text,, Level Open the function
hint_34,Text,,"Not connected to the Payment Server,please check the local network or enter the game gruop to contact the admin!"
hint_340,Text,,Don't arrange your backpack while refining equipment!
hint_341,Text,,Don't arrange your warehouse while refining equipment!
hint_342,Text,,Activate the collected equipment successfully!
hint_343,Text,,Please wait for CD to the end
hint_343_1,Text,,Please put in the equipment
hint_344,Text,,Please raise your strength to the corresponding value to receive it
hint_344_1,Text,,Equipment quality to be transferred must be above purple
hint_345,Text,,The current number of recipients is full
hint_345_1,Text,,Position different
hint_346,Text,,The server isn't connected
hint_346_1,Text,,Property transfer succeeded
hint_347,Text,,"Please check the manufacturing level, the role cannot manufacture outside this manufacturing level"
hint_348,Text,,At least 2 seats reserved in backpack for manufacturing prop
hint_349,Text,,Insufficient materials required for manufacturing!
hint_35,Text,,"Tip: You have recharged, please wait patiently for the return result of payment, do not close this interface or exit the game!"
hint_350,Text,,Insufficient gold coins required for manufacturing!
hint_351,Text,,Insufficient proficiency required for manufacturing!
hint_352,Text,,Manufacturing success! Get the equipment:
hint_353,Text,,"Manufacturing failure, the manufacturing probability will increase next time!"
hint_354,Text,,Insufficient manufacturing materials
hint_355,Text,,Please raise the level to the specified level to receive it!
hint_356,Text,,The current number of recipients is full
hint_357,Text,,Success in inheritance! Get the equipment:
hint_358,Text,,"Manufacturing failure, the manufacturing probability will increase next time!"
hint_359,Text,,Award received
hint_36,Text,,"No more chance to enter the copy, please try it tomorrow!"
hint_360,Text,,Please raise the level to level 12 to receive it!
hint_361,Text,,"Insufficient sponsorship, please try again later!"
hint_362,Text,,Award received
hint_363,Text,,Please raise the level to level 12 to receive it!
hint_364,Text,,"Insufficient sponsorship, please try again later!"
hint_365,Text,,Require 
hint_366,Text,,
hint_367,Text,,to open
hint_368,Text,,Passive skill cannot be dragged
hint_369,Text,,Successful skill upgrade
hint_37,Text,,The copy has not been opened yet! 
hint_370,Text,,It has been received today
hint_371,Text,,You cannot get it without killing the boss today
hint_372,Text,,Joystick operation is off
hint_373,Text,,Joystick operation is on
hint_374,Text,,Click-to-move mode is on
hint_375,Text,,Fixed joystick operation is off
hint_376,Text,,Move joystick operation is off
hint_377,Text,,Your nickname has been changed to:
hint_378,Text,,Please enter the town to change the difficulty of the game
hint_379,Text,,The interval between using props is too short! Please use it later
hint_38,Text,,"No more chance to enter the copy, please try it tomorrow!"
hint_380,Text,,Please raise the level to level 15 to receive it!
hint_381,Text,,Please follow the login rewards in order!
hint_382,Text,,Today's login reward has been received!
hint_383,Text,,redeem
hint_384,Text,,Insufficient conditions for receiving rewards
hint_385,Text,,Please enter the level map before using this prop
hint_386,Text,,Insufficient props
hint_387,Text,,"Open for free, get experience:"
hint_388,Text,,"Open for free, get gold coins:"
hint_389,Text,,"Reached the current highest level, cannot use this prop!"
hint_39,Text,,You have received the Grand Mystery reward of Tier 
hint_390,Text,,Trigger a experience crit! Gain a lot of experience:
hint_391,Text,,Open by diamonds! Gain a lot of experience:
hint_392,Text,,Trigger a gold coin crit! Get a lot of gold coins:
hint_393,Text,,Open by diamonds! Gain a lot of gold coins:
hint_394,Text,,Quantity
hint_395,Text,,"This is the author's thanks box, which can be opened after sponsoring any amount of support for the author!"
hint_396,Text,,Trigger a rebirth!
hint_397,Text,,No matching equipment is currently placed!
hint_398,Text,,Too many times in a short time! Please try again later
hint_399,Text,,Insufficient diamonds
hint_4,Text,,This skill has not been learned
hint_40,Text,,
hint_400,Text,,It seems nothing happend!
hint_401,Text,,Equipment refining success!
hint_402,Text,,Skill cannot be moved while it is in CD
hint_403,Text,,Too many times in a short time! Please try again later
hint_404,Text,,Please click the equipment on the left to put in the equipment to be refined!
hint_405,Text,,No equipment to be refined!
hint_406,Text,,Insufficient refining stone
hint_407,Text,,"Insufficient diamonds, please click the store to recharge!"
hint_408,Text,,It seems nothing happend!
hint_409,Text,,Current props cannot be recycled
hint_41,Text,,You haven't cleared  Tier 1 of Grand Mystery and can't claim the reward!
hint_410,Text,,"Cannot be used, this prop cannot unload gems in this slot"
hint_411,Text,,Open the weekly card successfully!
hint_412,Text,,Today's weekly card has been received.
hint_413,Text,,Please enter CD-KEY!
hint_414,Text,,CD-KEY has been used
hint_415,Text,,"The organization benefits have been successfully received, and the reward has been sent to the backpack, please click to view!"
hint_416,Text,,CD-KEY is incorrect!
hint_417,Text,,CD-KEY is incorrect!
hint_418,Text,,"CD-KEY is incorrect, please check before entering!"
hint_419,Text,,"Thank you for your sponsorship for the author, it's enough!"
hint_42,Text,,This map cannot use recovery props!
hint_420,Text,,The amount of sponsorship is insufficient!
hint_421,Text,,You get
hint_422,Text,,gold coins
hint_423,Text,,diamonds
hint_424,Text,,You get
hint_425,Text,,New chapter successfully opened!
hint_426,Text,,Level fast transfer activated successfully!
hint_427,Text,,
hint_428,Text,,Summon pets successfully!
hint_429,Text,,"The role level is insufficient, cannot use the manufacture book!"
hint_43,Text,,Start failed! Please reserve at least 5 places in the backpack!
hint_430,Text,,Require
hint_431,Text,,
hint_432,Text,,to open
hint_433,Text,,You triggered 
hint_434,Text,,drop effect
hint_435,Text,,Refresh success!
hint_436,Text,,Refresh failed!
hint_437,Text,,Insufficient times
hint_438,Text,,congratulations! Get diamonds
hint_439,Text,,Modification of pet team configuration succeeded
hint_44,Text,,The function is not turned on yet!
hint_440,Text,,TIANTI fight times are full today
hint_441,Text,,Please configure your own pet team
hint_442,Text,,Please select a pet of baby type! Wild pets can't join the team
hint_443,Text,,Unable to view intruder's pet information
hint_444,Text,,The current pet cultivation level has reached the maximum
hint_445,Text,,I'm sorry that I failed
hint_446,Text,,"Insufficient consumption of resources, unable to Practice"
hint_447,Text,,Congratulations! Success in Practice
hint_448,Text,,"Congratulations, activate the drop rate"
hint_449,Text,,Please put in the pet
hint_45,Text,,You have learned the manufacturing prop! Do not repeat the learning
hint_450,Text,,You can't sell the props for the time being because you often get on and off the shelves. Please come back tomorrow!
hint_451,Text,,Loading game data
hint_452,Text,,Insufficient points to redeem offline
hint_453,Text,,"IOS is not initialized, please click later"
hint_454,Text,,Please raise the level to level 12 to open it!
hint_455,Text,,-00:00 Send Reward
hint_456,Text,,
hint_457,Text,,Please upgrade to level 55 before entering
hint_458,Text,,Insufficient Mana!
hint_459,Text,,Home fund
hint_46,Text,,"The pet fields are currently full! Get a pet field for every 15, 25, 35, 45, 55 level of the role!"
hint_460,Text,,Kill boss level 15 lower than your own level does not trigger the difficulty burst rate bonus
hint_47,Text,,Congratulations! You get a mutant pet
hint_48,Text,,Congratulations! You get a pet
hint_49,Text,,Please raise the role level to LV 8 to enable the pet function!
hint_5,Text,,There is no spare pet slot
hint_50,Text,,"There is currently no combat pet, so it cannot be used!"
hint_51,Text,,The maximum price can only be increased to 100%.
hint_52,Text,,The minimum price can only be decreased to 10%.
hint_53,Text,,"The skill is pet treating, but there is no combat pet!"
hint_54,Text,,The skill is in CD ...
hint_55,Text,,Pet level is too low to use!
hint_56,Text,,Your pet level is 5 higher than your role level and cannot be used!
hint_57,Text,,The quantity sold does not match the actual
hint_58,Text,,Please check that the server is connected properly
hint_59,Text,,Your combat pet has gained 
hint_6,Text,,Congratulations: Get a legendary pet!
hint_60,Text,,experience.
hint_61,Text,,There are not enough backpack props. Please check your backpack!
hint_62,Text,,"There is currently no combat pet, so it cannot be used!"
hint_63,Text,,Pet level is too high to use!
hint_64,Text,,Your pet level is 5 higher than your role level and cannot be used!
hint_65,Text,,Please move to the map:
hint_66,Text,,Please move to 
hint_67,Text,,to open it
hint_68,Text,,Start digging!
hint_69,Text,,Please raise the role level to LV 8 to capture pets!
hint_7,Text,,Insufficient pieces of legendary pet
hint_70,Text,,Unable to capture while exploring!
hint_71,Text,,Please select the target you want to capture first!
hint_72,Text,,BOSS cannot be captured!
hint_73,Text,,The target is dead and cannot be captured!
hint_74,Text,,"The capture skill is in CD, please try again after "
hint_75,Text,,s...
hint_76,Text,,Insufficient energy to capture!
hint_77,Text,, You can use props 
hint_78,Text,, to continue
hint_79,Text,,Consume 
hint_8,Text,,Perfect treasure: Double treasure chances
hint_80,Text,, pet prop
hint_81,Text,,"The interface is open, please select the hole of the corresponding color for gem setting"
hint_82,Text,,The warehouse is full
hint_83,Text,,The warehouse is not open
hint_84,Text,,The backpack is full
hint_85,Text,,No draw below level 8!
hint_86,Text,,Insufficient diamonds!
hint_87,Text,,"Gull backpack, please reserve at least 10 places!"
hint_88,Text,,Cannot save coordinates in town map!
hint_89,Text,,Congratulations! Success in capturing pet
hint_9,Text,,You cannot use any skill in this map
hint_90,Text,,You cannot explore while picking up props!
hint_91,Text,,It can only be used once in half an hour!  
hint_92,Text,,min CD remaining
hint_93,Text,,Please save the coordinate points to be transferred first!
hint_94,Text,,"Exploring is in CD, please try later"
hint_95,Text,,"You have explored this area, please move to another one!"
hint_96,Text,,Insufficient vitality to explore! Vitality will increase with online time!
hint_97,Text,,You seem to have found something! But your backpack doesn't fit anymore!
hint_98,Text,,You accidentally find the props scattered outside:
hint_99,Text,,Exploring is complete! Nothing seems to be around here!
万,Text,,0 thousand
万众瞩目,Text,,Drop Rate Lv.6
上涨价格,Text,,Up
下一等级,Text,,Next level
下级部位属性提升,Text,,Next Position
下降价格,Text,,Down
专注额外提高,Text,,
个,Text,,
主动精灵,Text,,Active
主宠,Text,,PetPosition
主线任务,Text,,Main Task
人形攻击伤害,Text,,Damage To Humanoid % 
人形攻击抗性,Text,,Humanoid  Resistance
人物攻击抗性额外提高,Text,,Humanoid  Resistance Up 
人类,Text,,Human
今日抽卡次数,Text,,Times today
今日挑战次数,Text,,Number of fight today
今日累计次数,Text,,Accumulated times today
以下道具随机获得一种,Text,,Get one of the following items at random
件套,Text,,-pc-set
价格浮动,Text,,Price
任意颜色的,Text,,Any Color
休 息,Text,,Rest
传送,Text,,Go
伤害修炼,Text,,Damge Practice
伤害减免,Text,,DR
伤害加成,Text,,ED
伪装值额外提高,Text,,Reduced Up 
低级技能,Text,,Low Skill
体力,Text,,STA
你今日已赞助,Text,,Recharged
使用天赋点数,Text,,Use talent points
使用等级,Text,,Use Level
修炼成功概率,Text,,Success rate
倍爆率,Text,,times drop rate
元,Text,,
元可直接开启礼包,Text,,Can Open Week Pass
光抗性,Text,,Holy Resistance
光明抗性,Text,,HR
光辉洗炼,Text,,Brilliant Polish
冒险家积分不足,Text,,Adventurer Point Insufficient
冰霜抗性,Text,,CR
冰霜抗性额外提高,Text,,Frost Resistance Up 
出 战,Text,,Fight
击杀,Text,,Kill
击杀BOSS,Text,,Kill Boss
击杀BOSS级别怪物,Text,,Kill Any Boss
击杀任意BOSS,Text,,Kill any boss
击杀任意怪物,Text,,Kill Any Monster
击杀时间,Text,,Kill Time
分钟,Text,,Min
到达等级免费领取,Text,,Free at level
制造数量,Text,,Number
制造等级 无限制,Text,,Need Lv : 1
制造难度,Text,,Difficulty
前往,Text,,Go
前置激活条件,Text,,Activation requirements
