Key,Type,Desc,Chinese
comhint_23,Text,,恭喜你!今天你寻找到了
comhint_24,Text,,"个真实宝箱！
寻找1-3个宝箱获得1张藏宝图 
寻找4-5个宝箱获得2张藏宝图 
寻找6个宝箱获得3张藏宝图"
comhint_25,Text,,"""是否删除此账号"""
comhint_26,Text,,是否出售道具:
comhint_27,Text,,是否出售装备:
comhint_28,Text,,"
(提示:当前装备上附带宝石!)"
comhint_29,Text,,"
(提示:在主城回收商人处回收可以获得经验和装备碎片!)"
comhint_3,Text,,是否放生此宠物？
comhint_30,Text,,"
(提示:在主城回收商人处回收可以获得经验和装备碎片!)
本次出售可以获得金币:"
comhint_31,Text,,请点击保存需要传送的坐标！
comhint_32,Text,,你当前定位的地区为：
comhint_33,Text,,"
 坐标点："
comhint_34,Text,,是否消耗300钻石清空所有次数
comhint_35,Text,,"恭喜你!赢得了今天天梯对战的胜利
获胜奖励：金币*30000"
comhint_36,Text,,"很抱歉,你没有击败对方宠物战队
失败奖励：金币*10000"
comhint_37,Text,,是否消耗30000金币刷新当前随机排名
comhint_38,Text,,"请让你的宠物重新出战,才可以让当前出战宠物的技能和属性生效"
comhint_39,Text,,"游戏内支持开启单机模式,开启后游戏内的所有弱联网功能将自动屏蔽!
(点击头像打开设置界面勾选单机模式即可)"
comhint_4,Text,,"是否进入副本？
提示:每天只有一次进入机会！"
comhint_40,Text,,我知道了!
comhint_41,Text,,出售家园道具将获得建设资金:
comhint_5,Text,,"1.玩家需要在限定的时间内击杀小怪收集秘境值,当秘境值达到500点后即可召唤秘境领主BOSS.
2.击杀秘境BOSS后则挑战当前秘境层级成功,并激活下一层级大秘境,怪物实力随着秘境层级越高！
3.大秘境内均会掉落秘境碎片可以在隔壁的同学处兑换奖励！
4.大秘境成功退出地图后可以连续挑战,如果挑战失败只能等明日再来！"
comhint_6,Text,,是否领取通关大秘境第
comhint_7,Text,,层奖励？
comhint_8,Text,,是否前往兑换金币界面？
comhint_9,Text,,是否花费600钻石重置SP值？
hint_1,Text,,"背包已满,请预留至少1个位置！"
hint_10,Text,,技能施法状态中断！
hint_100,Text,,召唤冷却中！
hint_101,Text,,你要下载的账号
hint_102,Text,,",请创建一个"
hint_103,Text,,角色在下载此数据
hint_104,Text,,未连接服务器！
hint_105,Text,,"世界等级已经完全放开,无法兑换!"
hint_106,Text,,未连接服务器！
hint_107,Text,,"世界等级已经完全放开,无法兑换!"
hint_108,Text,,"经验不足,无法兑换！"
hint_109,Text,,未达到世界等级！
hint_11,Text,,你需要选择攻击目标
hint_110,Text,,"世界等级已经完全放开,无法兑换!"
hint_111,Text,,关闭自动挂机！
hint_112,Text,,开启自动挂机！
hint_113,Text,,8级以下无法免费抽取！
hint_114,Text,,你关闭了联网功能！请在游戏设置内开启才能使用此功能!
hint_115,Text,,9级可以开启战区活动功能!
hint_116,Text,,你消耗了
hint_117,Text,,点经验兑换了
hint_118,Text,,金币
hint_119,Text,,"经验不足,无法兑换！"
hint_12,Text,,你需要离的更近一点
hint_120,Text,,未达到世界等级！
hint_121,Text,,当前物品无法在拍卖行出售!
hint_122,Text,,取消技能释法
hint_123,Text,,你的宝箱已经先手被别人抢走了！ T.T
hint_124,Text,,"等级未达到章节要求,无法切换到此章节！"
hint_125,Text,,"你碰到了一个被腐蚀的宝箱,似乎对你产生了不好的作用!"
hint_126,Text,,"你碰到了一个被腐蚀的宝箱,似乎对你产生了不好的作用!"
hint_127,Text,,请不要输入中文字符！
hint_128,Text,,账号不能为空！
hint_129,Text,,请不要输入中文字符！
hint_13,Text,,当前制造技能你已经学习！
hint_130,Text,,请检查！两次确认密码不一致！
hint_131,Text,,体力不足
hint_132,Text,,"点,体力每5分钟恢复1点！"
hint_133,Text,,密码不能为空！
hint_134,Text,,账号不能为空！
hint_135,Text,,提示：请将角色等级提升至
hint_136,Text,,级后可继续升级下一级建筑
hint_137,Text,,获得繁荣度：
hint_138,Text,,金币不足！
hint_139,Text,,请等待倒计时结束后领取！
hint_14,Text,,角色等级不足！
hint_140,Text,,"今日已达领取次数已达上限,请明天再来领取！"
hint_141,Text,,请等待倒计时结束后领取！
hint_142,Text,,"今日已达领取次数已达上限,请明天再来领取！"
hint_143,Text,,需要冒险家等级提升至3级开启此仓库栏位！
hint_144,Text,,需要冒险家等级提升至6级开启此仓库栏位！
hint_145,Text,,需要冒险家等级提升至8级开启此仓库栏位！
hint_146,Text,,"正在整理,请稍后再试！"
hint_147,Text,,收回召唤宠物成功！
hint_148,Text,,宠物合成成功!请到宠物列表中进行查看
hint_149,Text,,需要达到20级后开启!
hint_15,Text,,学习需要的金币不足!
hint_150,Text,,你有新的邮件！请赶快前往圣光成的邮件处领取哦~
hint_151,Text,,请点击右下角 [开始冒险] 进入冒险地图完成任务!
hint_152,Text,,背包剩余格子数量不足!请预留至少
hint_153,Text,,个位置
hint_154,Text,,"奖励已领取,请勿重新领取！"
hint_155,Text,,购买单组数量最大为
hint_156,Text,,背包空间不足！请预留至少
hint_157,Text,,个位置领取奖励
hint_158,Text,,天降幸运！恭喜你完成活跃任务时获得了神兽碎片！
hint_159,Text,,出售道具的数量不能为0
hint_16,Text,,当前没有任何宠物！
hint_160,Text,,未连接至服务器
hint_161,Text,,最多只能上架8个道具
hint_162,Text,,出售宠物技能书类的道具需要角色等级>=20级
hint_163,Text,,请先选择要出售的道具
hint_164,Text,,兑换钻石数量不能为0
hint_165,Text,,您可能未连接至服务器！兑换金币数量不能为0
hint_166,Text,,兑换成功！你兑换了
hint_167,Text,,金币
hint_168,Text,,激活精灵属性成功!
hint_169,Text,,被动精灵无法激活!
hint_17,Text,,技能触发专注!
hint_170,Text,,此精灵暂未拥有!
hint_171,Text,,"恭喜你,支付成功!钻石已成功到账,请查收"
hint_172,Text,,无法合成！合成宠物中存在出战宠物
hint_173,Text,,神兽无法合成！
hint_174,Text,,增加
hint_175,Text,,点
hint_176,Text,,熟练度!
hint_177,Text,,当前宠物栏位已满！宠物栏位每15、25、35、45、55级均会新增一个宠物栏位！
hint_178,Text,,恭喜你!激活了新的
hint_179,Text,,试炼等级！
hint_18,Text,,恭喜你!学会制作道具:
hint_180,Text,,"该目标无法捕捉,捕捉无效！"
hint_181,Text,,"你的捕捉动作太大,导致目标发现你藏起来了"
hint_182,Text,,你需要达到
hint_183,Text,,级才可以捕捉！
hint_184,Text,,当前宠物栏位已满！
hint_185,Text,,"你的捕捉动作太大,导致目标发现你藏起来了"
hint_186,Text,,捕捉失败！
hint_187,Text,,"该目标无法捕捉,捕捉无效！"
hint_188,Text,,你需要达到
hint_189,Text,,级才可以捕捉！
hint_19,Text,,出战等级不足
hint_190,Text,,战斗中不能释放此技能！
hint_191,Text,,繁荣度提升增加:
hint_192,Text,,出战等级不足
hint_193,Text,,宠物召唤冷却
hint_194,Text,,当前出战位已满！
hint_195,Text,,BOSS出现！！！
hint_196,Text,,恭喜你!挑战
hint_197,Text,,层秘境成功
hint_198,Text,,你已经击杀BOSS！你现在可以返回地图挑战下一层秘境！
hint_199,Text,,荣誉值增加:
hint_2,Text,,该技能已经装备
hint_20,Text,,请等待冷却时间结束再次召唤宠物！
hint_200,Text,,请升级繁荣等级开启此道具奖励！
hint_201,Text,,"背包已满,请预留至少1个位置！"
hint_202,Text,,荣誉不足！
hint_203,Text,,恭喜你击杀副本BOSS成功!
hint_204,Text,,"秒后刷新下一只BOSS,请做好准备！"
hint_205,Text,,正在处理上次回收数据!请稍后…
hint_206,Text,,请放入要回收的装备!
hint_207,Text,,你的背包需要剩余最少
hint_208,Text,,个位置!
hint_209,Text,,"回收物品超过自身等级15级,无法回收!"
hint_21,Text,,宠物召唤冷却
hint_210,Text,,此Boss无首杀奖励！
hint_211,Text,,接取任务成功!
hint_212,Text,,放入装备不符合要求
hint_213,Text,,今日副本次数已满!
hint_214,Text,,王国繁荣等级不足！请提升至：
hint_215,Text,,级
hint_216,Text,,角色等级不足！请提升至：
hint_217,Text,,请先将前面关卡通关才可挑战此关卡！
hint_218,Text,,10级开启天赋系统
hint_219,Text,,战士排行榜已刷新！
hint_22,Text,,当前出战位已满！
hint_220,Text,,你已经召唤此怪物！
hint_221,Text,,小地图移动开启！
hint_222,Text,,道具不足!
hint_223,Text,,你的技能发挥了作用！
hint_224,Text,,你的宠物已经有了相同的技能！
hint_225,Text,,洗炼变异宠物请使用更强大的道具！
hint_226,Text,,你的宠物被一股强大的能力赋予了！
hint_227,Text,,一股神秘的力量让你的宠物资质提高了！
hint_228,Text,,一股神秘的力量让你的宠物成长提高了！
hint_229,Text,,不能给野生宠物使用此道具！
hint_23,Text,,战斗时不能撤回宠物
hint_230,Text,,"重置失败,点数不符！"
hint_231,Text,,一股神秘的力量让你的宠物属性点数重置了！
hint_232,Text,,"等级不足,无法购买"
hint_233,Text,,背包格子不足！
hint_234,Text,,"货币不足,无法购买！"
hint_235,Text,,背包格子不足！
hint_236,Text,,"你已经购买此礼包,请明日再来！"
hint_237,Text,,"货币不足,无法购买！"
hint_238,Text,,请升级繁荣等级开启此道具奖励！
hint_239,Text,,"背包已满,请预留至少1个位置！"
hint_24,Text,,名称不能为空
hint_240,Text,,荣誉不足！
hint_241,Text,,复活成功！
hint_242,Text,,15级可以进入藏宝洞窟！
hint_243,Text,,"今天已经进入藏宝洞窟一次了,请明天再来！"
hint_244,Text,,需要材料不足
hint_245,Text,,"今日已经领取,请明日再来！"
hint_246,Text,,到当天指定天数才可查看奖励喔!
hint_247,Text,,"今日签到奖励已领取,请明日再来!"
hint_248,Text,,请按顺领取签到奖励!
hint_249,Text,,背包剩余空间不足!
hint_25,Text,,名称长度不能大于7个字符
hint_250,Text,,签到奖励已经领取!
hint_251,Text,,"今日赞助签到奖励已领取,请明日再来!"
hint_252,Text,,"领取失败,每天赞助任意金额即可领取此奖励!"
hint_253,Text,,背包剩余空间不足!
hint_254,Text,,签到奖励已经领取!
hint_255,Text,,已关闭挂机状态
hint_256,Text,,技能施法状态中断！
hint_257,Text,,"您的背包已满,本次试炼奖励领取失败!"
hint_258,Text,,技能施法状态中断！
hint_259,Text,,进入战斗
hint_26,Text,,出战中不能放生宠物！
hint_260,Text,,退出战斗
hint_261,Text,,"怪物已脱离,无法攻击"
hint_262,Text,,领取失败!成就点数不足!
hint_263,Text,,当前没有任何宠物！
hint_264,Text,,此成就奖励已经领取
hint_265,Text,,出战等级不足！此宠物出战需要角色达到
hint_266,Text,,级
hint_267,Text,,请等待冷却时间结束再次召唤宠物！
hint_268,Text,,宠物召唤冷却
hint_269,Text,,当前出战位已满！
hint_27,Text,,无法领取!未达到黄金令牌
hint_270,Text,,战斗时不能撤回宠物
hint_271,Text,,"野生宠物:野外随处可见的宠物,宠物属性点数天生就比宝宝少40点,只能临时用用！"
hint_272,Text,,"宠物宝宝:野外比较少的宠物,你可以自由分配他的宠物点数,达到收益最大化！"
hint_273,Text,,"变异宝宝:非常稀有的一种宠物,它的资质有可能超过上限！"
hint_274,Text,,"神兽宠物:全世界中最珍贵的宠物,没有之一！"
hint_275,Text,,名称不能为空
hint_276,Text,,名称长度不能大于7个字符
hint_277,Text,,修改失败!存在特殊字符
hint_278,Text,,出战中不能放生宠物！
hint_279,Text,,SP值不足
hint_28,Text,,无法领取!未达到钻石令牌
hint_280,Text,,需要总激活天赋点数达到:
hint_281,Text,,点
hint_282,Text,,学习等级不足
hint_283,Text,,SP当前天赋已达上限
hint_284,Text,,"关联天赋未激活,请先激活关联天赋"
hint_285,Text,,"当前插槽已有宝石,请将宝石卸下后方可重新镶嵌"
hint_286,Text,,"镶嵌失败,请确定宝石的颜色是否与孔位一致！"
hint_287,Text,,镶嵌位置错误！
hint_288,Text,,"背包已满,请清理背包"
hint_289,Text,,强化已达满级!
hint_29,Text,,领取奖励需要预留1个道具位置
hint_290,Text,,需要等级达到
hint_291,Text,,级开启本次强化！
hint_292,Text,,强化所需金币不足！
hint_293,Text,,强化所需道具不足！
hint_294,Text,,强化失败！你的运气可能不太好
hint_295,Text,,"复活币不足,无法复活"
hint_296,Text,,你需要选择攻击目标
hint_297,Text,,恭喜你！制造产生了暴击获得双倍物品！
hint_298,Text,,当前没有宠物！
hint_299,Text,,你有新的邮件！请赶快前往圣光主城的邮件处领取哦~
hint_3,Text,,"此技能为被动技能,无法拖动!"
hint_30,Text,,"支付开启中,请稍等……！"
hint_300,Text,,当前没有可分配的点数
hint_301,Text,,"背包已满,请保持背包内有足够的空位！"
hint_302,Text,,运气爆炸!洗炼装备时竟然额外钻探出一个宝石孔位
hint_303,Text,,删除指定数量不足！
hint_304,Text,,当前宠物已经出战
hint_305,Text,,召唤宠物成功!激活15秒无敌时间!1分钟内只能激活一次!
hint_306,Text,,添加称号成功！请到设置界面查看称号列表并使用
hint_307,Text,,恭喜你!激活精灵:
hint_308,Text,,升级技能需要玩家等级达到
hint_309,Text,,级
hint_31,Text,,"支付繁忙,请稍后支付,如长时间无反应请重启游戏应用！"
hint_310,Text,,"SP值不足,每升一级获得1点SP值!"
hint_311,Text,,切换普通模式成功!
hint_312,Text,,"切换挑战模式成功！Boss属性增强,更有大概率掉落道具！"
hint_313,Text,,等级提升至10级后开启挑战模式！
hint_314,Text,,"切换地狱模式成功！Boss属性大大增强,更有超大概率掉落道具！"
hint_315,Text,,等级提升至15级后开启地狱模式！
hint_316,Text,,技能重置成功!
hint_317,Text,,击杀场景怪物提升至
hint_318,Text,,级后进入！
hint_319,Text,,"道具发挥了效果,所有BOSS已刷新!"
hint_32,Text,,"支付转接中,请不要关闭界面……"
hint_320,Text,,使用此道具请移动到主城场景中使用！
hint_321,Text,,当前体力已满！
hint_322,Text,,请进入关卡地图在使用此道具
hint_323,Text,,当前活力已满！
hint_324,Text,,已超过使用等级!
hint_325,Text,,"背包已满,请先清空背包在提交任务！"
hint_326,Text,,请放入将要给予的装备
hint_327,Text,,宠物获得
hint_328,Text,,点经验
hint_329,Text,,"背包已满,请先清空背包在提交任务！"
hint_33,Text,,当前奖励已领取!
hint_330,Text,,此任务不可以自动寻路！
hint_331,Text,,请先前往地图：
hint_332,Text,,",如需提交任务,请找到"
hint_333,Text,,可提交任务
hint_334,Text,,"购买失败!请检查一下自己的钱袋子,嘿嘿！"
hint_335,Text,,倒计时结束！
hint_336,Text,,洗练装备时禁止移动道具操作！
hint_337,Text,,当前没有选择需要镶嵌的宝石
hint_338,Text,,请放入将要洗练的装备
hint_339,Text,,级开启此功能
hint_34,Text,,"未连接支付服务器,请确认本地网络或加游戏群联系管理员！"
hint_340,Text,,洗练装备时禁止整理背包！
hint_341,Text,,洗练装备时禁止整理仓库！
hint_342,Text,,激活收藏道具成功!
hint_343,Text,,请等待冷却时间结束
hint_343_1,Text,,请放入装备
hint_344,Text,,请将实力提升至对应值后领取
hint_344_1,Text,,需要转移的装备品质必须为紫色品质以上
hint_345,Text,,当前领取人数已满
hint_345_1,Text,,属性转移部位不同
hint_346,Text,,服务器未连接!
hint_346_1,Text,,属性转移成功
hint_347,Text,,"请查看制造等级,角色不在此制造等级范围内无法制造"
hint_348,Text,,制造道具背包至少预留2个位置…
hint_349,Text,,制造需要的材料不足!
hint_35,Text,,"提示:你已充值,请耐心等待支付返回结果,不要关闭此界面和退出游戏！"
hint_350,Text,,制造需要的金币不足!
hint_351,Text,,制造需要的熟练度不足!
hint_352,Text,,制造成功！获得装备：
hint_353,Text,,"制造失败,下次制造概率提升！"
hint_354,Text,,制造材料不足
hint_355,Text,,请将等级提升至指定等级后领取!
hint_356,Text,,当前领取人数已满!
hint_357,Text,,传承成功！获得装备：
hint_358,Text,,"制造失败,下次制造概率提升！"
hint_359,Text,,奖励已领取
hint_36,Text,,"今天已经进入副本一次了,请明天再来！"
hint_360,Text,,请将等级提升至12级后领取!
hint_361,Text,,赞助额度不足请稍后再试!
hint_362,Text,,奖励已领取
hint_363,Text,,请将等级提升至12级后领取!
hint_364,Text,,赞助额度不足请稍后再试!
hint_365,Text,,需要
hint_366,Text,,个
hint_367,Text,,",才能开启"
hint_368,Text,,被动技能不能被拖拽
hint_369,Text,,技能升级成功
hint_37,Text,,副本暂未开启!敬请期待~
hint_370,Text,,今日已经领取
hint_371,Text,,今天未击杀BOSS不能领取！
hint_372,Text,,摇杆操作已关闭
hint_373,Text,,摇杆操作已开启
hint_374,Text,,点击移动模式开启
hint_375,Text,,摇杆(移动)操作已开启
hint_376,Text,,摇杆(固定)操作已开启
hint_377,Text,,你的昵称已修改为：
hint_378,Text,,请进入城镇使用更改游戏难度
hint_379,Text,,使用道具间隔时间太短!请稍后再使用次道具
hint_38,Text,,"今天已经进入副本一次了,请明天再来！"
hint_380,Text,,请将等级提升至15级后领取!
hint_381,Text,,请按照登陆奖励依次领取!
hint_382,Text,,今日登陆奖励已领取!
hint_383,Text,,赎回
hint_384,Text,,领取奖励条件不足
hint_385,Text,,请进入关卡地图在使用此道具
hint_386,Text,,道具不足
hint_387,Text,,"免费开启,获得经验："
hint_388,Text,,"免费开启,获得金币："
hint_389,Text,,"已达到当前最高等级,无法使用此道具!"
hint_39,Text,,你已领取通关大秘境第
hint_390,Text,,触发经验暴击！获得大量经验：
hint_391,Text,,钻石开启！获得大量经验：
hint_392,Text,,触发金币暴击！获得大量金币：
hint_393,Text,,钻石开启！获得大量金币：
hint_394,Text,,数量
hint_395,Text,,"这是作者的感谢宝箱,赞助任意额度支持作者后可即可开启！"
hint_396,Text,,触发重生！！！
hint_397,Text,,当前没有符合要求的装备放入!
hint_398,Text,,短时间内洗炼次数太多！请稍后再试
hint_399,Text,,钻石不足
hint_4,Text,,该技能未学习
hint_40,Text,,层奖励！
hint_400,Text,,好像并没有发生什么变化！
hint_401,Text,,装备洗练成功！
hint_402,Text,,"技能CD中,不能移动技能"
hint_403,Text,,短时间内洗炼次数太多！请稍后再试
hint_404,Text,,请点击左侧装备放入要洗炼的装备!
hint_405,Text,,未放入需要洗炼的装备!
hint_406,Text,,洗炼石不足
hint_407,Text,,"钻石不足,请点击商城充值！"
hint_408,Text,,好像并没有发生什么变化！
hint_409,Text,,当前道具不可以回收
hint_41,Text,,"你还未通关大秘境第1层,无法领取奖励！"
hint_410,Text,,"不能使用,此道具不能卸载此槽位的宝石"
hint_411,Text,,开启周卡成功!
hint_412,Text,,今日周卡已经领取
hint_413,Text,,请输入序列号!
hint_414,Text,,序列号已被领取!
hint_415,Text,,"领取组织福利成功,奖励已发往背包,请点击查看！"
hint_416,Text,,序列号不正确!
hint_417,Text,,序列号密匙不正确!
hint_418,Text,,"序列号不正确,请检查后在进行输入!"
hint_419,Text,,"感谢你为作者做出的赞助,已经够多了,作者在此感谢你！"
hint_42,Text,,此地图不能使用恢复类道具！
hint_420,Text,,赞助金额不足!
hint_421,Text,,你获得
hint_422,Text,,金币
hint_423,Text,,钻石
hint_424,Text,,你获得
hint_425,Text,,新的章节开启成功!!! 
hint_426,Text,,关卡快捷传送激活成功!!! 
hint_427,Text,,个
hint_428,Text,,召唤宠物成功！
hint_429,Text,,制作书要求角色等级不足！
hint_43,Text,,开始失败!请背包内至少预留5个位置!
hint_430,Text,,需要
hint_431,Text,,个
hint_432,Text,,才能开启
hint_433,Text,,你触发了
hint_434,Text,,爆率效果
hint_435,Text,,恭喜你!刷新爆率成功
hint_436,Text,,刷新爆率失败
hint_437,Text,,抽卡次数不足
hint_438,Text,,恭喜你！获得钻石
hint_439,Text,,修改宠物队伍配置成功
hint_44,Text,,功能暂未开启!
hint_440,Text,,天梯今日挑战次数已满
hint_441,Text,,请配置自己的宠物出战队伍
hint_442,Text,,请选择类型为宝宝的宠物！野生宠物无法加入战队
hint_443,Text,,无法查看入侵者的宠物信息
hint_444,Text,,当前宠物修炼等级已达上限
hint_445,Text,,很遗憾!修炼失败
hint_446,Text,,"消耗资源不足,无法修炼"
hint_447,Text,,恭喜你!修炼成功
hint_448,Text,,"恭喜你,成功激活爆率"
hint_449,Text,,请放入需要洗炼的宠物
hint_45,Text,,当前制造物品已经学习!请勿重复学习
hint_450,Text,,"由于你频繁上下架道具,你暂时无法出售道具,请明天再来！"
hint_451,Text,,加载游戏数据中
hint_452,Text,,兑换离线点数不足
hint_453,Text,,"IOS未初始化,请稍后点击"
hint_454,Text,,请将等级提升至12级后开启!
hint_455,Text,,"日0:00点发送排行奖励,邮件查收!"
hint_456,Text,,月
hint_457,Text,,请提升等级至55级后进入此副本
hint_458,Text,,魔法值不足!
hint_459,Text,,家园资金
hint_46,Text,,当前宠物栏位已满！宠物栏位每15、25、35、45、55级均会新增一个宠物栏位！
hint_460,Text,,击败比自己等级低15级的BOSS不触发难度爆率加成
hint_47,Text,,运气爆表！恭喜你获得变异宠物!!!
hint_48,Text,,恭喜你获得宠物!
hint_49,Text,,请先将玩家等级提升至8级开启宠物功能！
hint_5,Text,,宠物位置已满！
hint_50,Text,,"当前无出战宠物,无法使用！"
hint_51,Text,,最高只能加价至100%
hint_52,Text,,最高只能1折出售
hint_53,Text,,此技能为宠物治疗！当前暂无宠物出战！
hint_54,Text,,技能冷却中…
hint_55,Text,,"宠物等级太低,无法使用！"
hint_56,Text,,"你的宠物等级高于自身角色5级,不可使用!"
hint_57,Text,,出售数量与实际不匹配
hint_58,Text,,请检查服务器是否正常连接
hint_59,Text,,你当前出战的宠物获得了
hint_6,Text,,恭喜你获得传说神兽!!!
hint_60,Text,,点经验值
hint_61,Text,,"背包道具数量不足,请整理背包！"
hint_62,Text,,"当前无出战宠物,无法使用！"
hint_63,Text,,"宠物等级太高,不能使用！"
hint_64,Text,,"你的宠物等级高于自身角色5级,不可使用!"
hint_65,Text,,请移动到地图:
hint_66,Text,,请移动到
hint_67,Text,,地图开启
hint_68,Text,,您已经开始挖宝了!
hint_69,Text,,请先将玩家等级提升至8级开启捕捉宠物功能！
hint_7,Text,,神兽碎片不足!
hint_70,Text,,探索中无法捕捉！
hint_71,Text,,请先选择要捕捉的目标！
hint_72,Text,,首领BOSS无法捕捉！
hint_73,Text,,"目标已经死亡,无法捕捉！"
hint_74,Text,,当前捕捉冷却时间请
hint_75,Text,,秒再试…
hint_76,Text,,体力不足
hint_77,Text,,点无法捕捉！或可以使用道具：
hint_78,Text,,代替!
hint_79,Text,,消耗捕捉宠物道具
hint_8,Text,,"恭喜你触发完美挖宝!获得2次奖励机会,每次各自随机!"
hint_80,Text,,1个
hint_81,Text,,"界面已打开,请选择对应颜色的槽位进行宝石镶嵌"
hint_82,Text,,仓库已满
hint_83,Text,,仓库未打开！
hint_84,Text,,背包已满！
hint_85,Text,,8级以下无法抽取奖励！
hint_86,Text,,钻石不足！
hint_87,Text,,"背包已满,请预留至少10个位置！"
hint_88,Text,,不能在城镇地图保存坐标！
hint_89,Text,,恭喜你!捕捉宠物成功
hint_9,Text,,此地图不能使用技能！
hint_90,Text,,"拾取道具时,不能进行探索！"
hint_91,Text,,半小时内只能使用一次! 冷却时间剩余:
hint_92,Text,,分钟
hint_93,Text,,请先保存需要传送的坐标点！
hint_94,Text,,"刚刚已经搜索过了,休息一下在探索要不会累的鸭！"
hint_95,Text,,"此地已经搜索过了,请换个地方再次搜索！"
hint_96,Text,,"活力不足,无法搜索！活力值会随着在线时间而增长！"
hint_97,Text,,"叮咣叮咣,好像发现了什么！但是你的背包好像已经装不下了!"
hint_98,Text,,你意外找到散落在外面的道具:
hint_99,Text,,搜索完毕！这附近好像并没有什么东西！
万,Text,,万
万众瞩目,Text,,万众瞩目
上涨价格,Text,,上涨价格
下一等级,Text,,下一等级
下级部位属性提升,Text,,下级部位属性提升
下降价格,Text,,下降价格
专注额外提高,Text,,专注额外提高
个,Text,,个
主动精灵,Text,,主动精灵
主宠,Text,,宠物栏位
主线任务,Text,,主线任务
人形攻击伤害,Text,,人形攻击伤害
人形攻击抗性,Text,,人形攻击抗性
人物攻击抗性额外提高,Text,,人物攻击抗性额外提高
人类,Text,,人类
今日抽卡次数,Text,,今日抽卡次数
今日挑战次数,Text,,今日挑战次数
今日累计次数,Text,,今日累计次数
以下道具随机获得一种,Text,,以下道具随机获得一种
件套,Text,,件套
价格浮动,Text,,价格浮动
任意颜色的,Text,,任意颜色的
休 息,Text,,休 息
传送,Text,,传送
伤害修炼,Text,,伤害修炼
伤害减免,Text,,伤害减免
伤害加成,Text,,伤害加成
伪装值额外提高,Text,,伪装值额外提高
低级技能,Text,,低级技能
体力,Text,,体力
你今日已赞助,Text,,你今日已赞助
使用天赋点数,Text,,使用天赋点数
使用等级,Text,,使用等级
修炼成功概率,Text,,修炼成功概率
倍爆率,Text,,倍爆率
元,Text,,元
元可直接开启礼包,Text,,元可直接开启礼包
光抗性,Text,,光抗性
光明抗性,Text,,神圣抗性
光辉洗炼,Text,,光辉洗炼
冒险家积分不足,Text,,冒险家积分不足
冰霜抗性,Text,,冰霜抗性
冰霜抗性额外提高,Text,,冰霜抗性额外提高
出 战,Text,,出 战
击杀,Text,,击杀
击杀BOSS,Text,,击杀BOSS
击杀BOSS级别怪物,Text,,击杀BOSS级别怪物
击杀任意BOSS,Text,,击杀任意BOSS
击杀任意怪物,Text,,击杀任意怪物
击杀时间,Text,,击杀时间
分钟,Text,,分钟
到达等级免费领取,Text,,到达等级免费领取
制造数量,Text,,制造数量
制造等级 无限制,Text,,制造等级：无限制
制造难度,Text,,制造难度
前往,Text,,前往
前置激活条件,Text,,前置激活条件
剩余储备经验,Text,,剩余储备经验
剩余点数,Text,,剩余点数
副宠,Text,,宠物栏位
千载难逢,Text,,千载难逢
反击伤害,Text,,反击伤害
取 消,Text,,取 消
