Key,Type,Desc,Japanese
hint_179,Text,,
hint_18,Text,,
hint_180,Text,,
hint_181,Text,,
hint_182,Text,,
hint_183,Text,,
hint_184,Text,,
hint_185,Text,,
hint_186,Text,,
hint_187,Text,,
hint_188,Text,,
hint_189,Text,,
hint_19,Text,,
hint_190,Text,,
hint_191,Text,,
hint_192,Text,,
hint_193,Text,,
hint_194,Text,,
hint_195,Text,,
hint_196,Text,,
hint_197,Text,,
hint_198,Text,,
hint_199,Text,,
hint_2,Text,,
hint_20,Text,,
hint_200,Text,,
hint_201,Text,,
hint_202,Text,,
hint_203,Text,,
hint_204,Text,,
hint_205,Text,,
hint_206,Text,,
hint_207,Text,,
hint_208,Text,,
hint_209,Text,,
hint_21,Text,,
hint_210,Text,,
hint_211,Text,,
hint_212,Text,,
hint_213,Text,,
hint_214,Text,,
hint_215,Text,,
hint_216,Text,,
hint_217,Text,,
hint_218,Text,,
hint_219,Text,,
hint_22,Text,,
hint_220,Text,,
hint_221,Text,,
hint_222,Text,,
hint_223,Text,,
hint_224,Text,,
hint_225,Text,,
hint_226,Text,,
hint_227,Text,,
hint_228,Text,,
hint_229,Text,,
hint_23,Text,,
hint_230,Text,,
hint_231,Text,,
hint_232,Text,,
hint_233,Text,,
hint_234,Text,,
hint_235,Text,,
hint_236,Text,,
hint_237,Text,,
hint_238,Text,,
hint_239,Text,,
hint_24,Text,,
hint_240,Text,,
hint_241,Text,,
hint_242,Text,,
hint_243,Text,,
hint_244,Text,,
hint_245,Text,,
hint_246,Text,,
hint_247,Text,,
hint_248,Text,,
hint_249,Text,,
hint_25,Text,,
hint_250,Text,,
hint_251,Text,,
hint_252,Text,,
hint_253,Text,,
hint_254,Text,,
hint_255,Text,,
hint_256,Text,,
hint_257,Text,,
hint_258,Text,,
hint_259,Text,,
hint_26,Text,,
hint_260,Text,,
hint_261,Text,,
hint_262,Text,,
hint_263,Text,,
hint_264,Text,,
hint_265,Text,,
hint_266,Text,,
hint_267,Text,,
hint_268,Text,,
hint_269,Text,,
hint_27,Text,,
hint_270,Text,,
hint_271,Text,,
hint_272,Text,,
hint_273,Text,,
hint_274,Text,,
hint_275,Text,,
hint_276,Text,,
hint_277,Text,,
hint_278,Text,,
hint_279,Text,,
hint_28,Text,,
hint_280,Text,,
hint_281,Text,,
hint_282,Text,,
hint_283,Text,,
hint_284,Text,,
hint_285,Text,,
hint_286,Text,,
hint_287,Text,,
hint_288,Text,,
hint_289,Text,,
hint_29,Text,,
hint_290,Text,,
hint_291,Text,,
hint_292,Text,,
hint_293,Text,,
hint_294,Text,,
hint_295,Text,,
hint_296,Text,,
hint_297,Text,,
hint_298,Text,,
hint_299,Text,,
hint_3,Text,,
hint_30,Text,,
hint_300,Text,,
hint_301,Text,,
hint_302,Text,,
hint_303,Text,,
hint_304,Text,,
hint_305,Text,,
hint_306,Text,,
hint_307,Text,,
hint_308,Text,,
hint_309,Text,,
hint_31,Text,,
hint_310,Text,,
hint_311,Text,,
hint_312,Text,,
hint_313,Text,,
hint_314,Text,,
hint_315,Text,,
hint_316,Text,,
hint_317,Text,,
hint_318,Text,,
hint_319,Text,,
hint_32,Text,,
hint_320,Text,,
hint_321,Text,,
hint_322,Text,,
hint_323,Text,,
hint_324,Text,,
hint_325,Text,,
hint_326,Text,,
hint_327,Text,,
hint_328,Text,,
hint_329,Text,,
hint_33,Text,,
hint_330,Text,,
hint_331,Text,,
hint_332,Text,,
hint_333,Text,,
hint_334,Text,,
hint_335,Text,,
hint_336,Text,,
hint_337,Text,,
hint_338,Text,,
hint_339,Text,,
hint_34,Text,,
hint_340,Text,,
hint_341,Text,,
hint_342,Text,,
hint_343,Text,,
hint_343_1,Text,,
hint_344,Text,,
hint_344_1,Text,,
hint_345,Text,,
hint_345_1,Text,,
hint_346,Text,,
hint_346_1,Text,,
hint_347,Text,,
hint_348,Text,,
hint_349,Text,,
hint_35,Text,,
hint_350,Text,,
hint_351,Text,,
hint_352,Text,,
hint_353,Text,,
hint_354,Text,,
hint_355,Text,,
hint_356,Text,,
hint_357,Text,,
hint_358,Text,,
hint_359,Text,,
hint_36,Text,,
hint_360,Text,,
hint_361,Text,,
hint_362,Text,,
hint_363,Text,,
hint_364,Text,,
hint_365,Text,,
hint_366,Text,,
hint_367,Text,,
hint_368,Text,,
hint_369,Text,,
hint_37,Text,,
hint_370,Text,,
hint_371,Text,,
hint_372,Text,,
hint_373,Text,,
hint_374,Text,,
hint_375,Text,,
hint_376,Text,,
hint_377,Text,,
hint_378,Text,,
hint_379,Text,,
hint_38,Text,,
hint_380,Text,,
hint_381,Text,,
hint_382,Text,,
hint_383,Text,,
hint_384,Text,,
hint_385,Text,,
hint_386,Text,,
hint_387,Text,,
hint_388,Text,,
hint_389,Text,,
hint_39,Text,,
hint_390,Text,,
hint_391,Text,,
hint_392,Text,,
hint_393,Text,,
hint_394,Text,,
hint_395,Text,,
hint_396,Text,,
hint_397,Text,,
hint_398,Text,,
hint_399,Text,,
hint_4,Text,,
hint_40,Text,,
hint_400,Text,,
hint_401,Text,,
hint_402,Text,,
hint_403,Text,,
hint_404,Text,,
hint_405,Text,,
hint_406,Text,,
hint_407,Text,,
hint_408,Text,,
hint_409,Text,,
hint_41,Text,,
hint_410,Text,,
hint_411,Text,,
hint_412,Text,,
hint_413,Text,,
hint_414,Text,,
hint_415,Text,,
hint_416,Text,,
hint_417,Text,,
hint_418,Text,,
hint_419,Text,,
hint_42,Text,,
hint_420,Text,,
hint_421,Text,,
hint_422,Text,,
hint_423,Text,,
hint_424,Text,,
hint_425,Text,,
hint_426,Text,,
hint_427,Text,,
hint_428,Text,,
hint_429,Text,,
hint_43,Text,,
hint_430,Text,,
hint_431,Text,,
hint_432,Text,,
hint_433,Text,,
hint_434,Text,,
hint_435,Text,,
hint_436,Text,,
hint_437,Text,,
hint_438,Text,,
hint_439,Text,,
hint_44,Text,,
hint_440,Text,,
hint_441,Text,,
hint_442,Text,,
hint_443,Text,,
hint_444,Text,,
hint_445,Text,,
hint_446,Text,,
hint_447,Text,,
hint_448,Text,,
hint_449,Text,,
hint_45,Text,,
hint_450,Text,,
hint_451,Text,,
hint_452,Text,,
hint_453,Text,,
hint_454,Text,,
hint_455,Text,,
hint_456,Text,,
hint_457,Text,,
hint_458,Text,,
hint_459,Text,,
hint_46,Text,,
hint_460,Text,,
hint_47,Text,,
hint_48,Text,,
hint_49,Text,,
hint_5,Text,,
hint_50,Text,,
hint_51,Text,,
hint_52,Text,,
hint_53,Text,,
hint_54,Text,,
hint_55,Text,,
hint_56,Text,,
hint_57,Text,,
hint_58,Text,,
hint_59,Text,,
hint_6,Text,,
hint_60,Text,,
hint_61,Text,,
hint_62,Text,,
hint_63,Text,,
hint_64,Text,,
hint_65,Text,,
hint_66,Text,,
hint_67,Text,,
hint_68,Text,,
hint_69,Text,,
hint_7,Text,,
hint_70,Text,,
hint_71,Text,,
hint_72,Text,,
hint_73,Text,,
hint_74,Text,,
hint_75,Text,,
hint_76,Text,,
hint_77,Text,,
hint_78,Text,,
hint_79,Text,,
hint_8,Text,,
hint_80,Text,,
hint_81,Text,,
hint_82,Text,,
hint_83,Text,,
hint_84,Text,,
hint_85,Text,,
hint_86,Text,,
hint_87,Text,,
hint_88,Text,,
hint_89,Text,,
hint_9,Text,,
hint_90,Text,,
hint_91,Text,,
hint_92,Text,,
hint_93,Text,,
hint_94,Text,,
hint_95,Text,,
hint_96,Text,,
hint_97,Text,,
hint_98,Text,,
hint_99,Text,,
万,Text,,
万众瞩目,Text,,
上涨价格,Text,,
下一等级,Text,,
下级部位属性提升,Text,,
下降价格,Text,,
专注额外提高,Text,,
个,Text,,
主动精灵,Text,,
主宠,Text,,
主线任务,Text,,
人形攻击伤害,Text,,
人形攻击抗性,Text,,
人物攻击抗性额外提高,Text,,
人类,Text,,
今日抽卡次数,Text,,
今日挑战次数,Text,,
今日累计次数,Text,,
以下道具随机获得一种,Text,,
件套,Text,,
价格浮动,Text,,
任意颜色的,Text,,
休 息,Text,,
传送,Text,,
伤害修炼,Text,,
伤害减免,Text,,
伤害加成,Text,,
伪装值额外提高,Text,,
低级技能,Text,,
体力,Text,,
你今日已赞助,Text,,
使用天赋点数,Text,,
使用等级,Text,,
修炼成功概率,Text,,
倍爆率,Text,,
元,Text,,
元可直接开启礼包,Text,,
光抗性,Text,,
光明抗性,Text,,
光辉洗炼,Text,,
冒险家积分不足,Text,,
冰霜抗性,Text,,
冰霜抗性额外提高,Text,,
出 战,Text,,
击杀,Text,,
击杀BOSS,Text,,
击杀BOSS级别怪物,Text,,
击杀任意BOSS,Text,,
击杀任意怪物,Text,,
击杀时间,Text,,
分钟,Text,,
到达等级免费领取,Text,,
制造数量,Text,,
制造等级 无限制,Text,,
制造难度,Text,,
前往,Text,,
前置激活条件,Text,,
剩余储备经验,Text,,
剩余点数,Text,,
副宠,Text,,
千载难逢,Text,,
反击伤害,Text,,
取 消,Text,,
受到Boss技能攻击减免,Text,,
受到Boss普通攻击减免,Text,,
受到首领技能减免额外提高,Text,,
受到首领攻击减免额外提高,Text,,
召唤天赋,Text,,
可以获得经验加成,Text,,
可镶嵌在,Text,,
吸血,Text,,
吸血率额外提高,Text,,
周卡剩余领取次数,Text,,
命中,Text,,
命中率,Text,,
命中等级,Text,,
命中等级额外提高,Text,,
品质,Text,,
嗜血几率额外提高,Text,,
回血值,Text,,
回血固定值额外提高,Text,,
回血百分比,Text,,
回血百分比额外提高,Text,,
困难模式,Text,,
固定伤害额外提高,Text,,
圣光洗炼,Text,,
地图剩余时间,Text,,
地狱,Text,,
地狱模式,Text,,
地狱难度首胜奖励,Text,,
复活几率额外提高,Text,,
多彩,Text,,
多彩插槽,Text,,
天赋系统,Text,,
天赋达到,Text,,
头盔,Text,,
头领,Text,,
孔位,Text,,
宝石,Text,,
宝石熟练度,Text,,
宠物,Text,,
宠物受伤减免,Text,,
宠物受伤减免额外提高,Text,,
宠物合成,Text,,
宠物攻击加成,Text,,
宠物攻击加成额外提高,Text,,
宠物系统,Text,,
对话,Text,,
寻找,Text,,
寻找到真实宝箱,Text,,
小时,Text,,
小赚一笔,Text,,
已上架,Text,,
已击杀,Text,,
已刷新,Text,,
已完成,Text,,
已达成,Text,,
幸运值,Text,,
幸运玩家,Text,,
开启周卡需消耗,Text,,
强化 装备属性提升,Text,,
强化成功概率,Text,,
强壮的,Text,,
当前,Text,,
当前可免费领取,Text,,
当前技能点数,Text,,
当前爆率,Text,,
当前版本为最新版本,Text,,
当前的等级,Text,,
当前的经验百分比,Text,,
当前离线点数,Text,,
当前自身的实力值,Text,,
当前部位属性提升,Text,,
必中额外提高,Text,,
忽视目标防御值,Text,,
忽视目标防御值额外提高,Text,,
忽视目标魔防值,Text,,
忽视目标魔防值额外提高,Text,,
怪物脱战距离额外提高,Text,,
恶魔,Text,,
恶魔攻击伤害,Text,,
恶魔攻击抗性,Text,,
恶魔攻击抗性额外提高,Text,,
成功概率,Text,,
成就,Text,,
成就列表,Text,,
成就首页,Text,,
我的实力值,Text,,
我的排名,Text,,
我的等级,Text,,
战士,Text,,
战斗回血比例额外提高,Text,,
战斗回血百分比,Text,,
战斗成就,Text,,
手套,Text,,
打造熟练度,Text,,
找到符合要求的装备,Text,,
技能,Text,,
技能冷却时间缩减,Text,,
技能冷却时间缩减额外提高,Text,,
技能点数,Text,,
技能等级,Text,,
技能闪避,Text,,
抓获,Text,,
抗性宝石,Text,,
折,Text,,
护盾开启,Text,,
护符,Text,,
抵消伤害,Text,,
拥有者,Text,,
挑战,Text,,
挑战难度首胜奖励,Text,,
挖宝位置,Text,,
捕捉宠物,Text,,
探宝次数达到,Text,,
探索寻找物品中,Text,,
探索成就,Text,,
提升打造极品的概率,Text,,
提升至,Text,,
携带宠物数量,Text,,
支线任务,Text,,
收集成就,Text,,
攻击,Text,,
攻击上限,Text,,
攻击下限,Text,,
攻击人物伤害额外提高,Text,,
攻击修炼,Text,,
攻击力不足,Text,,
攻击反击,Text,,
攻击反弹额外提高,Text,,
攻击大于,Text,,
攻击恶魔伤害额外提高,Text,,
攻击穿透额外提高,Text,,
攻击野兽伤害额外提高,Text,,
攻击附加伤害,Text,,
无消耗,Text,,
无视防御额外提高,Text,,
星,Text,,
普普通通,Text,,
普通模式,Text,,
普通难度首胜奖励,Text,,
暗影抗性额外提高,Text,,
暗抗性,Text,,
暴击,Text,,
暴击率,Text,,
暴击等级,Text,,
暴击等级额外提高,Text,,
最新版本,Text,,
未击杀,Text,,
未学习,Text,,
未连接服务器获取最新版本,Text,,
材料,Text,,
极品值额外提高,Text,,
格挡值,Text,,
格挡值额外提高,Text,,
概率获得神兽碎片,Text,,
橙色品质的装备,Text,,
正在向服务器请求首杀数据,Text,,
正在退出地图,Text,,
此宠物已经在你的战队中,Text,,
此额度每日0点清空,Text,,
武器,Text,,
每日任务,Text,,
水抗性,Text,,
法术上限,Text,,
法术下限,Text,,
法术反击,Text,,
法术反弹额外提高,Text,,
法术强度,Text,,
洗炼极品掉落,Text,,
活力,Text,,
活跃度,Text,,
海神洗炼,Text,,
消耗,Text,,
消耗体力,Text,,
消耗品,Text,,
消耗金币,Text,,
游戏战区,Text,,
漠灵洗炼,Text,,
火抗性,Text,,
火焰抗性,Text,,
火焰抗性额外提高,Text,,
灵石,Text,,
灾难值额外提高,Text,,
点,Text,,
点击放入上阵宠物,Text,,
点击放置合成宠物,Text,,
点击领取作者回馈礼包,Text,,
点活跃度奖励,Text,,
点的装备,Text,,
炼金暴击!有概率获得双倍收益,Text,,
炼金熟练度,Text,,
熟练度,Text,,
熟练度达到,Text,,
物理免伤提升,Text,,
物防大于,Text,,
环,Text,,
生产药剂暴击概率额外提高,Text,,
电抗性,Text,,
白色,Text,,
白色品质的装备,Text,,
白色插槽,Text,,
百里挑一,Text,,
的头盔,Text,,
的戒指,Text,,
的手套,Text,,
的护符,Text,,
的武器,Text,,
的腰带,Text,,
的衣服,Text,,
的裤子,Text,,
的队伍,Text,,
的鞋子,Text,,
的项链,Text,,
的饰品,Text,,
确 定,Text,,
祝福值额外提高,Text,,
神农值额外提高,Text,,
神圣抗性额外提高,Text,,
离线宝箱奖励,Text,,
秒,Text,,
秒后免费领取,Text,,
秒后开启,Text,,
秘境值,Text,,
移动速度,Text,,
移动速度提升,Text,,
穿戴身上激活成就,Text,,
第,Text,,
第101-200名,Text,,
第11-20名,Text,,
第1名,Text,,
第201-500名,Text,,
第21-30名,Text,,
第2名,Text,,
第31-50名,Text,,
第3名,Text,,
第4-10名,Text,,
第51-100名,Text,,
第一个升级至20级的为肝帝,Text,,
第一章,Text,,
第一章探宝,Text,,
第三章,Text,,
第三章探宝,Text,,
第二章,Text,,
第二章探宝,Text,,
第五章,Text,,
第五章探宝,Text,,
第四章,Text,,
第四章探宝,Text,,
等级,Text,,
等级不足,Text,,
等级到达,Text,,
等级大于,Text,,
类型,Text,,
系统提示,Text,,
紫色,Text,,
紫色品质的装备,Text,,
紫色插槽,Text,,
红色,Text,,
红色插槽,Text,,
级,Text,,
级冒险家,Text,,
级学习,Text,,
级开启购买,Text,,
经验,Text,,
经验加成,Text,,
经验收益额外提高,Text,,
绝世耀眼,Text,,
绿色,Text,,
绿色品质的装备,Text,,
绿色插槽,Text,,
肝帝,Text,,
腰带,Text,,
自身buff效果延长,Text,,
英勇洗炼,Text,,
药剂熟练度增加,Text,,
药剂类熟练度额外提高,Text,,
获得,Text,,
蓝色,Text,,
蓝色品质的装备,Text,,
蓝色插槽,Text,,
虚弱的,Text,,
血量,Text,,
血量修炼,Text,,
衣服,Text,,
被动精灵,Text,,
装备,Text,,
装备上的宝石槽位出现概率,Text,,
装备制造,Text,,
装备隐藏属性出现概率,Text,,
裤子,Text,,
谁与争锋,Text,,
财富值额外提高,Text,,
赞助,Text,,
达到,Text,,
运气值额外提高,Text,,
进度,Text,,
进度值,Text,,
通 用,Text,,
通用,Text,,
部位,Text,,
重击,Text,,
重击概率,Text,,
重击概率额外提高,Text,,
重击附加伤害,Text,,
重击附加伤害额外提高,Text,,
野兽,Text,,
野兽攻击伤害,Text,,
野兽攻击抗性,Text,,
野兽攻击抗性额外提高,Text,,
金币,Text,,
金币不足,Text,,
金币加成,Text,,
金币收益额外提高,Text,,
钻石,Text,,
锻造熟练度增加,Text,,
锻造类熟练度额外提高,Text,,
镶 嵌,Text,,
闪电抗性,Text,,
闪电抗性额外提高,Text,,
闪避,Text,,
闪避 血量,Text,,
闪避恢复血量,Text,,
闪避率,Text,,
闪避等级,Text,,
闪避等级额外提高,Text,,
防御,Text,,
防御上限,Text,,
防御下限,Text,,
防御修炼,Text,,
隐藏属性,Text,,
需要,Text,,
需要战力达到,Text,,
需要熟练度,Text,,
需要等级,Text,,
需要等级达到,Text,,
鞋子,Text,,
韧性,Text,,
韧性概率额外提高,Text,,
韧性等级,Text,,
韧性等级额外提高,Text,,
项链,Text,,
饰品,Text,,
首领技能加成额外提高,Text,,
首领攻击加成额外提高,Text,,
高级技能,Text,,
魔法免伤提升,Text,,
魔法天赋,Text,,
魔法师,Text,,
魔法穿透额外提高,Text,,
魔防,Text,,
魔防上限,Text,,
魔防下限,Text,,
魔防大于,Text,,
黑暗抗性,Text,,
