Key,Type,Desc,Chinese,English,Japanese
comhint_29,Text,,"
(提示:在主城回收商人处回收可以获得经验和装备碎片!)","
 (Tip: Recycling at the equipment recycle businessman can gain experience and equipment debris!)",
comhint_3,Text,,是否放生此宠物？,Whether to release this pet?,
comhint_30,Text,,"
(提示:在主城回收商人处回收可以获得经验和装备碎片!)
本次出售可以获得金币:","
 (Tip: Recycling at the equipment recycle businessman can gain experience and equipment debris!)
 You can get gold coins:",
comhint_31,Text,,请点击保存需要传送的坐标！,Click to save the coordinates to be transferred!,
comhint_32,Text,,你当前定位的地区为：,Your current location is: ,
comhint_33,Text,,"
 坐标点：","
 Coordinate points: ",
comhint_34,Text,,是否消耗300钻石清空所有次数,Whether to consume 300 diamonds to empty all times,
comhint_35,Text,,"恭喜你!赢得了今天天梯对战的胜利
获胜奖励：金币*30000","Congratulations on winning the battle of TIANTI today
 Winning reward: gold coin * 30000",
comhint_36,Text,,"很抱歉,你没有击败对方宠物战队
失败奖励：金币*10000","I'm sorry you didn't beat the pet team
 Failure reward: gold coin * 10000",
comhint_37,Text,,是否消耗30000金币刷新当前随机排名,Whether to consume 30000 gold coins to refresh the current random ranking,
comhint_38,Text,,"请让你的宠物重新出战,才可以让当前出战宠物的技能和属性生效",Please ask your pet to fight again before the current skills and attributes of the pet will take effect,
comhint_39,Text,,"游戏内支持开启单机模式,开启后游戏内的所有弱联网功能将自动屏蔽!
(点击头像打开设置界面勾选单机模式即可)","In the game, it supports to turn on the stand-alone mode. After turning on, all the weak networking functions in the game will be automatically blocked! 
 (click the avatar to open the setting interface and check the stand-alone mode)",
comhint_4,Text,,"是否进入副本？
提示:每天只有一次进入机会！","Whether to enter the copy?
 Tip: Only one chance to enter every day!",
comhint_40,Text,,我知道了!,I got it!,
comhint_41,Text,,出售家园道具将获得建设资金:,Selling home props will get construction funds:,
comhint_5,Text,,"1.玩家需要在限定的时间内击杀小怪收集秘境值,当秘境值达到500点后即可召唤秘境领主BOSS.
2.击杀秘境BOSS后则挑战当前秘境层级成功,并激活下一层级大秘境,怪物实力随着秘境层级越高！
3.大秘境内均会掉落秘境碎片可以在隔壁的同学处兑换奖励！
4.大秘境成功退出地图后可以连续挑战,如果挑战失败只能等明日再来！","1. The player needs to kill the monsters to collect the secret value within a limited time. When the secret value reaches 500 points, BOSS will be summoned.
2. After killing the BOSS,  you can enter the next tier. The higher tier of the mystery, the more difficult it is.
3.The mystery shards will be dropped in the Grand Mystery. You can redeem rewards at the mystery businessman!
After  you kill BOSS in Grand Mystery, you can continue to challenge next tier. If you failed, you can only wait for tomorrow!",
comhint_6,Text,,是否领取通关大秘境第,Whether to receive the Tier ,
comhint_7,Text,,层奖励？, reward of Grand Mystery?,
comhint_8,Text,,是否前往兑换金币界面？,Whether to enter the interface of the gold coins exchange?,
comhint_9,Text,,是否花费600钻石重置SP值？,Whether to spend 600 diamonds to reset SP?,
hint_1,Text,,"背包已满,请预留至少1个位置！","Full backpack, please reserve at least 1 space!",
hint_10,Text,,技能施法状态中断！,Skill casting is interrupted,
hint_100,Text,,召唤冷却中！,Summon is in CD!,
hint_101,Text,,你要下载的账号,You have downloaded the account,
hint_102,Text,,",请创建一个",", please create a ",
hint_103,Text,,角色在下载此数据, role to download this data,
hint_104,Text,,未连接服务器！,Server is not connected!,
hint_105,Text,,"世界等级已经完全放开,无法兑换!","The world level has been completely released, so it cannot be redeemed!",
hint_106,Text,,未连接服务器！,Server is not connected!,
hint_107,Text,,"世界等级已经完全放开,无法兑换!","The world level has been completely released, so it cannot be redeemed!",
hint_108,Text,,"经验不足,无法兑换！",Insufficient experience to redeem!,
hint_109,Text,,未达到世界等级！,Not reach the world level!,
hint_11,Text,,你需要选择攻击目标,Please select the target,
hint_110,Text,,"世界等级已经完全放开,无法兑换!","The world level has been completely released, so it cannot be redeemed!",
hint_111,Text,,关闭自动挂机！,Auto-hang is off!,
hint_112,Text,,开启自动挂机！,Auto-hang is on!,
hint_113,Text,,8级以下无法免费抽取！,No draw for free below level 8!,
hint_114,Text,,你关闭了联网功能！请在游戏设置内开启才能使用此功能!,You have turned off networking! This function is only available when you turn on it in the game settings!,
hint_115,Text,,9级可以开启战区活动功能!,You can turn on the theater activity function when you get LV 9!,
hint_116,Text,,你消耗了,You consume ,
hint_117,Text,,点经验兑换了, experience to exchange ,
hint_118,Text,,金币, gold coins,
hint_119,Text,,"经验不足,无法兑换！",Insufficient experience to redeem!,
hint_12,Text,,你需要离的更近一点,You need to get closer,
hint_120,Text,,未达到世界等级！,Not reach the world level!,
hint_121,Text,,当前物品无法在拍卖行出售!,The prop cannot be sold at the auction house!,
hint_122,Text,,取消技能释法,Cancel skill casting,
hint_123,Text,,你的宝箱已经先手被别人抢走了！ T.T,Your treasure chest has been snatched by others!,
hint_124,Text,,"等级未达到章节要求,无法切换到此章节！","Your level does not meet the chapter requirements, and you cannot switch to this chapter!",
hint_125,Text,,"你碰到了一个被腐蚀的宝箱,似乎对你产生了不好的作用!",You have opened a corroded treasure chest and it seems to have a bad effect on you!,
hint_126,Text,,"你碰到了一个被腐蚀的宝箱,似乎对你产生了不好的作用!",You have opened a corroded treasure chest and it seems to have a bad effect on you!,
hint_127,Text,,请不要输入中文字符！,Please do not enter Chinese characters!,
hint_128,Text,,账号不能为空！,Account cannot be empty,
hint_129,Text,,请不要输入中文字符！,Please do not enter Chinese characters!,
hint_13,Text,,当前制造技能你已经学习！,You have learned this manufacturing skill!,
hint_130,Text,,请检查！两次确认密码不一致！,Please check the password! The two passwords are inconsistent,
hint_131,Text,,体力不足,Insufficient energy ,
hint_132,Text,,"点,体力每5分钟恢复1点！"," , it recovers 1 every 5 minutes",
hint_133,Text,,密码不能为空！,Password cannot be empty,
hint_134,Text,,账号不能为空！,Account cannot be empty,
hint_135,Text,,提示：请将角色等级提升至,Tip: Please improve your role level to LV ,
hint_136,Text,,级后可继续升级下一级建筑, to continue to next level of the building,
hint_137,Text,,获得繁荣度：,Get prosperity:,
hint_138,Text,,金币不足！,Insufficient gold coins!,
hint_139,Text,,请等待倒计时结束后领取！,Please wait for the countdown to finish!,
hint_14,Text,,角色等级不足！,Insufficient role level!,
hint_140,Text,,"今日已达领取次数已达上限,请明天再来领取！","You have run out of rewards today, please come back tomorrow!",
hint_141,Text,,请等待倒计时结束后领取！,Please wait for the countdown to finish!,
hint_142,Text,,"今日已达领取次数已达上限,请明天再来领取！","You have run out of rewards today, please come back tomorrow!",
hint_143,Text,,需要冒险家等级提升至3级开启此仓库栏位！,This warehouse field will open after the adventurer level reach to level 3!,
hint_144,Text,,需要冒险家等级提升至6级开启此仓库栏位！,This warehouse field will open after the adventurer level reach to level 6!,
hint_145,Text,,需要冒险家等级提升至8级开启此仓库栏位！,This warehouse field will open after the adventurer level reach to level 8!,
hint_146,Text,,"正在整理,请稍后再试！","Sorting out, please try again later!",
hint_147,Text,,收回召唤宠物成功！,Retrieve combat pet successfully!,
hint_148,Text,,宠物合成成功!请到宠物列表中进行查看,Successful synthesis! Please check it in the pet list,
hint_149,Text,,需要达到20级后开启!,The role level doesn't reach LV 20,
hint_15,Text,,学习需要的金币不足!,Insufficient gold coins to learn!,
hint_150,Text,,你有新的邮件！请赶快前往圣光成的邮件处领取哦~,You have a new mail! Please go to the mail office of Halo Central City to pick it up,
hint_151,Text,,请点击右下角 [开始冒险] 进入冒险地图完成任务!,Please click [Start Adventure] in the bottom right corner to enter the adventure map to complete the mission!,
hint_152,Text,,背包剩余格子数量不足!请预留至少,Insufficient backpack space! Please reserve at least ,
hint_153,Text,,个位置, places,
hint_154,Text,,"奖励已领取,请勿重新领取！","The reward has been received, please do not repeat it!",
hint_155,Text,,购买单组数量最大为,The maximum number of single purchase groups is ,
hint_156,Text,,背包空间不足！请预留至少,Insufficient backpack space! Please reserve at least ,
hint_157,Text,,个位置领取奖励, places,
hint_158,Text,,天降幸运！恭喜你完成活跃任务时获得了神兽碎片！,Good luck! Congratulations on getting one piece of legendary pet after you complete the active mission!,
hint_159,Text,,出售道具的数量不能为0,The number of props sold cannot be 0,
hint_16,Text,,当前没有任何宠物！,No pet here!,
hint_160,Text,,未连接至服务器,Server is not connected!,
hint_161,Text,,最多只能上架8个道具,Only 8 props can be listed,
hint_162,Text,,出售宠物技能书类的道具需要角色等级>=20级,Selling pet skill book props requires the role level reach LV 20,
hint_163,Text,,请先选择要出售的道具,Please select the props to sell first,
hint_164,Text,,兑换钻石数量不能为0,The number of redeemed diamonds cannot be 0,
hint_165,Text,,您可能未连接至服务器！兑换金币数量不能为0,You may not be connected to the server! The number of gold coins exchanged cannot be 0,
hint_166,Text,,兑换成功！你兑换了,Successful redemption! You exchanged ,
hint_167,Text,,金币, gold coins,
hint_168,Text,,激活精灵属性成功!,Successful activation of sprite attributes!,
hint_169,Text,,被动精灵无法激活!,Passive sprite cannot be activated!,
hint_17,Text,,技能触发专注!,The skill triggers Tactician!,
hint_170,Text,,此精灵暂未拥有!,The sprite has not been activated yet!,
hint_171,Text,,"恭喜你,支付成功!钻石已成功到账,请查收","The payment is successful! The diamonds has been successfully credited, please check",
hint_172,Text,,无法合成！合成宠物中存在出战宠物,No synthesize! Combat pet is in the synthetic pets,
hint_173,Text,,神兽无法合成！,The legendary pet cannot be synthesized!,
hint_174,Text,,增加,Get ,
hint_175,Text,,点,,
hint_176,Text,,熟练度!, proficiency points,
hint_177,Text,,当前宠物栏位已满！宠物栏位每15、25、35、45、55级均会新增一个宠物栏位！,"The pet fields are currently full! Get a pet field for every 15, 25, 35, 45, 55 level of the role!",
hint_178,Text,,恭喜你!激活了新的,Congratulations! A new trial level has been activated!,
hint_179,Text,,试炼等级！,,
hint_18,Text,,恭喜你!学会制作道具:,Congratulations! Learn to make prop:,
hint_180,Text,,"该目标无法捕捉,捕捉无效！","The target cannot be captured, the capture is invalid!",
hint_181,Text,,"你的捕捉动作太大,导致目标发现你藏起来了",Your movement range is too big and the target gets away,
hint_182,Text,,你需要达到,You need to reach LV 10(级数) to capture!,
hint_183,Text,,级才可以捕捉！,,
hint_184,Text,,当前宠物栏位已满！,The pet field is currently full!,
hint_185,Text,,"你的捕捉动作太大,导致目标发现你藏起来了",Your movement range is too big and the target gets away,
hint_186,Text,,捕捉失败！,Capture failed!,
hint_187,Text,,"该目标无法捕捉,捕捉无效！","The target cannot be captured, the capture is invalid!",
hint_188,Text,,你需要达到,You need to reach LV ,
hint_189,Text,,级才可以捕捉！, to capture!,
hint_19,Text,,出战等级不足,Insufficient level to combat,
hint_190,Text,,战斗中不能释放此技能！,This skill cannot be released in combat!,
hint_191,Text,,繁荣度提升增加:,Get prosperity:,
hint_192,Text,,出战等级不足,Insufficient level to combat,
hint_193,Text,,宠物召唤冷却,Pet summon is in CD,
hint_194,Text,,当前出战位已满！,The combat table is full!,
hint_195,Text,,BOSS出现！！！,BOSD appears!,
hint_196,Text,,恭喜你!挑战,Congratulations! Success in Tier ,
hint_197,Text,,层秘境成功,,
hint_198,Text,,你已经击杀BOSS！你现在可以返回地图挑战下一层秘境！,You have killed BOSS! Now you can return to the map to challenge the next tier of mystery!,
hint_199,Text,,荣誉值增加:,Get honor:,
hint_2,Text,,该技能已经装备,This skill is already equipped,
hint_20,Text,,请等待冷却时间结束再次召唤宠物！,Pet summon is in CD,
hint_200,Text,,请升级繁荣等级开启此道具奖励！,Please upgrade the prosperity level to open the prop reward!,
hint_201,Text,,"背包已满,请预留至少1个位置！","Full backpack, please reserve at least 1 space!",
hint_202,Text,,荣誉不足！,Insufficient honor!,
hint_203,Text,,恭喜你击杀副本BOSS成功!,Congratulations on your success in killing BOSS of the copy!,
hint_204,Text,,"秒后刷新下一只BOSS,请做好准备！","90 seconds refresh the next BOSS , please be prepared!",
hint_205,Text,,正在处理上次回收数据!请稍后…,Processing last recycled data! Please wait ...,
hint_206,Text,,请放入要回收的装备!,Please put in the equipment to be recycled!,
hint_207,Text,,你的背包需要剩余最少,Your backpack must be reserved at least ,
hint_208,Text,,个位置!, places,
hint_209,Text,,"回收物品超过自身等级15级,无法回收!","No recycle, the recycled props exceed 15 of the role level!",
hint_21,Text,,宠物召唤冷却,Pet summon is in CD,
hint_210,Text,,此Boss无首杀奖励！,This Boss don't have first-kill reward!,
hint_211,Text,,接取任务成功!,Successfully picked up the mission!,
hint_212,Text,,放入装备不符合要求,The equipment put in does not meet the requirements,
hint_213,Text,,今日副本次数已满!,The number of copy entered today is full!,
hint_214,Text,,王国繁荣等级不足！请提升至：,Insufficient levels of kingdom prosperity! Please upgrade to: LV ,
hint_215,Text,,级,,
hint_216,Text,,角色等级不足！请提升至：,Insufficient levels of the role! Please upgrade to: LV ,
hint_217,Text,,请先将前面关卡通关才可挑战此关卡！,Please pass the previous level before challenging this level!,
hint_218,Text,,10级开启天赋系统,Talent system will open after LV 10,
hint_219,Text,,战士排行榜已刷新！,Warrior Ranking has been refreshed!,
hint_22,Text,,当前出战位已满！,The combat table is full!,
hint_220,Text,,你已经召唤此怪物！,You have summoned this monster!,
hint_221,Text,,小地图移动开启！,Fast movement in small map is on!,
hint_222,Text,,道具不足!,Insufficient props!,
hint_223,Text,,你的技能发挥了作用！,Your skill is working!,
hint_224,Text,,你的宠物已经有了相同的技能！,Your pet already has the same skill!,
hint_225,Text,,洗炼变异宠物请使用更强大的道具！,The mutant pets need more powerful props to refine!,
hint_226,Text,,你的宠物被一股强大的能力赋予了！,Your pet is given a powerful ability!,
hint_227,Text,,一股神秘的力量让你的宠物资质提高了！,A mysterious power improves your pet's qualifications!,
hint_228,Text,,一股神秘的力量让你的宠物成长提高了！,A mysterious power improves your pet's growth!,
hint_229,Text,,不能给野生宠物使用此道具！,This prop cannot be used for wild pets!,
hint_23,Text,,战斗时不能撤回宠物,Pet cannot be withdrawn in combat,
hint_230,Text,,"重置失败,点数不符！","Reset failed, insufficient attribute points!",
hint_231,Text,,一股神秘的力量让你的宠物属性点数重置了！,A mysterious power reset your pet attribute points!,
hint_232,Text,,"等级不足,无法购买",Insufficient levels to purchase,
hint_233,Text,,背包格子不足！,Insufficient backpack places!,
hint_234,Text,,"货币不足,无法购买！",Insufficient currencies to purchase,
hint_235,Text,,背包格子不足！,Insufficient backpack places!,
hint_236,Text,,"你已经购买此礼包,请明日再来！","You have already purchased this package, please come back tomorrow!",
hint_237,Text,,"货币不足,无法购买！",Insufficient currencies to purchase,
hint_238,Text,,请升级繁荣等级开启此道具奖励！,Please upgrade the prosperity level to open the prop reward!,
hint_239,Text,,"背包已满,请预留至少1个位置！","Full backpack, please reserve at least 1 space!",
hint_24,Text,,名称不能为空,Name cannot be empty,
hint_240,Text,,荣誉不足！,Insufficient honor!,
hint_241,Text,,复活成功！,Successful reborn!,
hint_242,Text,,15级可以进入藏宝洞窟！,You can enter Treasure Cave after LV 15!,
hint_243,Text,,"今天已经进入藏宝洞窟一次了,请明天再来！","You have entered Treasure Cave once today, please come back tomorrow!",
hint_244,Text,,需要材料不足,Insufficient materials!,
hint_245,Text,,"今日已经领取,请明日再来！","You have rceived today, please come back tomorrow!",
hint_246,Text,,到当天指定天数才可查看奖励喔!,The reward can only be viewed on the specified number of days!,
hint_247,Text,,"今日签到奖励已领取,请明日再来!","You have received the sign-in reward for today, please come back tomorrow!",
hint_248,Text,,请按顺领取签到奖励!,Please receive the sign-in rewards in order!,
hint_249,Text,,背包剩余空间不足!,Insufficient backpack places!,
hint_25,Text,,名称长度不能大于7个字符,Name cannot be longer than 7 characters,
hint_250,Text,,签到奖励已经领取!,You have already received the sign-in reward,
hint_251,Text,,"今日赞助签到奖励已领取,请明日再来!","Today's sponsorship sign-in reward has been received, please come back tomorrow!",
hint_252,Text,,"领取失败,每天赞助任意金额即可领取此奖励!",Failed! You can receive this reward by sponsoring any amount today!,
hint_253,Text,,背包剩余空间不足!,Insufficient backpack places!,
hint_254,Text,,签到奖励已经领取!,You have already received the sign-in reward,
hint_255,Text,,已关闭挂机状态,Hang status is off,
hint_256,Text,,技能施法状态中断！,Skill casting is interrupted!,
hint_257,Text,,"您的背包已满,本次试炼奖励领取失败!","Full backpack, and the trial reward has failed to receive!",
hint_258,Text,,技能施法状态中断！,Skill casting is interrupted!,
hint_259,Text,,进入战斗,Enter combat,
hint_26,Text,,出战中不能放生宠物！,Pet cannot be released during the combat,
hint_260,Text,,退出战斗,Quit combat,
hint_261,Text,,"怪物已脱离,无法攻击",The monster is out of combat and cannot be attacked,
hint_262,Text,,领取失败!成就点数不足!,Receive failed! Insufficient achievement points!,
hint_263,Text,,当前没有任何宠物！,No pet here！,
hint_264,Text,,此成就奖励已经领取,This achievement reward has been received,
hint_265,Text,,出战等级不足！此宠物出战需要角色达到,Insufficient level to combat! Your role must reach LV ,
hint_266,Text,,级, to summon this pet,
hint_267,Text,,请等待冷却时间结束再次召唤宠物！,Pet summon is in CD,
hint_268,Text,,宠物召唤冷却,Pet summon is in CD,
hint_269,Text,,当前出战位已满！,The combat table is full!,
hint_27,Text,,无法领取!未达到黄金令牌,Unable to claim! Golden token not reached,
hint_270,Text,,战斗时不能撤回宠物,Pet cannot be withdrawn in combat,
hint_271,Text,,"野生宠物:野外随处可见的宠物,宠物属性点数天生就比宝宝少40点,只能临时用用！","Wild pets: Pets that can be seen everywhere in the wild, the pet attributes are inherently 40 points less than babies, and can only be used temporarily!",
hint_272,Text,,"宠物宝宝:野外比较少的宠物,你可以自由分配他的宠物点数,达到收益最大化！","Pet baby: There are relatively few pets in the wild, you can freely allocate his attribute points to maximize revenue!",
hint_273,Text,,"变异宝宝:非常稀有的一种宠物,它的资质有可能超过上限！",Mutant baby: a very rare pet whose qualification may exceed the upper limit!,
hint_274,Text,,"神兽宠物:全世界中最珍贵的宠物,没有之一！", Legendary pets: the most precious pets in the game!,
hint_275,Text,,名称不能为空,Name cannot be empty,
hint_276,Text,,名称长度不能大于7个字符,Name cannot be longer than 7 characters,
hint_277,Text,,修改失败!存在特殊字符,Modify failed! Special characters exist,
hint_278,Text,,出战中不能放生宠物！,Pets cannot be released during the combat!,
hint_279,Text,,SP值不足,Insufficient SP(skill points),
hint_28,Text,,无法领取!未达到钻石令牌,Unable to claim! Diamond token not reached,
hint_280,Text,,需要总激活天赋点数达到:, Require activated talent points reach: ,
hint_281,Text,,点,,
hint_282,Text,,学习等级不足,Insufficient level to learn the skill,
hint_283,Text,,SP当前天赋已达上限,The current talent has reached the upper limit,
hint_284,Text,,"关联天赋未激活,请先激活关联天赋","Relevant talent is not activated, please activate the relevant talent first",
hint_285,Text,,"当前插槽已有宝石,请将宝石卸下后方可重新镶嵌","There is a gem in the current hole, please remove the gem first",
hint_286,Text,,"镶嵌失败,请确定宝石的颜色是否与孔位一致！","Inlay failed, please make sure the color of the gem is consistent with the hole position!",
hint_287,Text,,镶嵌位置错误！,Wrong hole position!,
hint_288,Text,,"背包已满,请清理背包","Full backpack, please clean it first",
hint_289,Text,,强化已达满级!,Reinforcement has reached the full level!,
hint_29,Text,,领取奖励需要预留1个道具位置,You need to reserve 1 prop space to receive the reward,
hint_290,Text,,需要等级达到,Require LV ,
hint_291,Text,,级开启本次强化！, to enable this reinforcement!,
hint_292,Text,,强化所需金币不足！,Insufficient gold coins to reinforce,
hint_293,Text,,强化所需道具不足！,Insufficient props to reinforce,
hint_294,Text,,强化失败！你的运气可能不太好,Reinforce failed! Terrible luck,
hint_295,Text,,"复活币不足,无法复活",Insufficient reborn coins to reborn,
hint_296,Text,,你需要选择攻击目标,Please select an attack target first,
hint_297,Text,,恭喜你！制造产生了暴击获得双倍物品！,Congratulations! Produce the crit double props!,
hint_298,Text,,当前没有宠物！,No pet here!,
hint_299,Text,,你有新的邮件！请赶快前往圣光主城的邮件处领取哦~,You have a new mail! Please go to the mail office of Halo Central City to pick it up,
hint_3,Text,,"此技能为被动技能,无法拖动!","Passive skill ,cannot be dragged",
hint_30,Text,,"支付开启中,请稍等……！",Payment is being opened ...,
hint_300,Text,,当前没有可分配的点数,No points are currently allocated,
hint_301,Text,,"背包已满,请保持背包内有足够的空位！","Full backpack, please keep enough space in the backpack!",
hint_302,Text,,运气爆炸!洗炼装备时竟然额外钻探出一个宝石孔位,Luck is bursting! An extra gem hole was drilled when refining the equipment,
hint_303,Text,,删除指定数量不足！,Insufficient quality to delete,
hint_304,Text,,当前宠物已经出战,The pet is in combat,
hint_305,Text,,召唤宠物成功!激活15秒无敌时间!1分钟内只能激活一次!,Successful pet summon! Activate 15 seconds of invincible time! Activate only once in 1 minute!,
hint_306,Text,,添加称号成功！请到设置界面查看称号列表并使用,Get the title! Please go to the setting interface to view the list of titles and use,
hint_307,Text,,恭喜你!激活精灵:,Congratulations! Activate the sprite:,
hint_308,Text,,升级技能需要玩家等级达到,Upgrading this skill requires the role level up to ,
hint_309,Text,,级,,
hint_31,Text,,"支付繁忙,请稍后支付,如长时间无反应请重启游戏应用！","Payment is busy, please pay later. If there is no response for a long time, please restart the game!",
hint_310,Text,,"SP值不足,每升一级获得1点SP值!","Insufficient SP, get 1 SP for each level!",
hint_311,Text,,切换普通模式成功!,Switch to Easy mode successfully!,
hint_312,Text,,"切换挑战模式成功！Boss属性增强,更有大概率掉落道具！",Switch Challenge mode successfully! Boss has been stronger to drop props with greater probability!,
hint_313,Text,,等级提升至10级后开启挑战模式！,Challenge mode will be open after LV 10!,
hint_314,Text,,"切换地狱模式成功！Boss属性大大增强,更有超大概率掉落道具！",Switch Hell mode successfully! Boss has been stronger to drop props with large probability!,
hint_315,Text,,等级提升至15级后开启地狱模式！,Hell mode will be open after LV 15!,
hint_316,Text,,技能重置成功!,Successfully reset skills!,
hint_317,Text,,击杀场景怪物提升至,Enter the scene after leveling up to LV ,
hint_318,Text,,级后进入！,!,
hint_319,Text,,"道具发挥了效果,所有BOSS已刷新!","The props worked, BOSS have been refreshed!",
hint_32,Text,,"支付转接中,请不要关闭界面……","During payment transfer, please do not close the interface ...",
hint_320,Text,,使用此道具请移动到主城场景中使用！,This prop can only be used in Halo Central City!,
hint_321,Text,,当前体力已满！,Full energy!,
hint_322,Text,,请进入关卡地图在使用此道具,Please enter the chapter map to use this prop,
hint_323,Text,,当前活力已满！,Full vitality!,
hint_324,Text,,已超过使用等级!,Exceed the limited level,
hint_325,Text,,"背包已满,请先清空背包在提交任务！","Full backpack, please reserve enough place to submit the mission!",
hint_326,Text,,请放入将要给予的装备,Please put in the submitted equipment,
hint_327,Text,,宠物获得,The pet will get ,
hint_328,Text,,点经验, experience,
hint_329,Text,,"背包已满,请先清空背包在提交任务！","Full backpack, please reserve enough place to submit the mission!",
hint_33,Text,,当前奖励已领取!,This reward has been received!,
hint_330,Text,,此任务不可以自动寻路！,This mission cannot offer auto-wayfinding!,
hint_331,Text,,请先前往地图：,Please go to the map:,
hint_332,Text,,",如需提交任务,请找到",Please find ,
hint_333,Text,,可提交任务, to submit the mission,
hint_334,Text,,"购买失败!请检查一下自己的钱袋子,嘿嘿！",Purchase failed! Please check your money first,
hint_335,Text,,倒计时结束！,The countdown is over!,
hint_336,Text,,洗练装备时禁止移动道具操作！,Don't drag the equipment while refining!,
hint_337,Text,,当前没有选择需要镶嵌的宝石,Please select the gem to be set,
hint_338,Text,,请放入将要洗练的装备,Please put in the equipment to be refined ,
hint_339,Text,,级开启此功能, Level Open the function,
